"x"
"SERPINB2"
"PTGS2"
"ANGPTL4"
"ANKRD1"
"IL1A"
"IL1B"
"PLEKHC1"
"PDGFB"
"LRRC50"
"CA12"
"CXCL5"
"MMP1"
"MT1M"
"CNKSR3"
"TNIP3"
"CCR7"
"DDIT4"
"LIF"
"SPAG4"
"IL8"
"CDC42EP2"
"EBI3"
"PLOD2"
"BNIP3"
"WNT5A"
"DPYSL4"
"MT1H"
"PI3"
"MMP10"
"MT3"
"ADORA2A"
"LAD1"
"TNF"
"ICAM5"
"RNF36"
"IL23A"
"ANKRD37"
"CKB"
"CXCL1"
"SLC2A1"
"CCL20"
"TMEM45A"
"ITGB8"
"ALDOC"
"CMYA1"
"FCRLM1"
"RAB33A"
"SNAI1"
"HIG2"
"E2F7"
"IL27"
"SLC2A14"
"ADM"
"TNFAIP6"
"C10orf27"
"SLC2A3"
"LOC342897"
"ABTB2"
"RAB11FIP5"
"IL1F9"
"EGLN3"
"ARG1"
"CSF3"
"RNASE4"
"LAMB3"
"IER3"
"CD44"
"ADSSL1"
"FGF11"
"P8"
"CCNG2"
"FLJ43855"
"NDP"
"MTM"
"NOL3"
"EEF1A2"
"MMP3"
"LOC401052"
"DUSP1"
"MT1X"
"MARCKS"
"CCL3L1"
"GNAT2"
"KRTHB4"
"IL12B"
"IL6"
"LEP"
"SLC2A5"
"RPL10L"
"OR4F17"
"KSP37"
"C20orf127"
"PLAC8"
"MT1G"
"GPR132"
"ARRDC3"
"FAM57A"
"TRIP10"
"ENO2"
"GRAMD3"
