"celltype","condition","n","dual_pos_pct","cor_spearman"
"Endothelial","DM",1639,16.4734594264796,0.169867202765328
"Endothelial","Healing",2267,20.9969122187914,0.203923878455527
"Endothelial","Healthy",3311,13.5306553911205,0.133912952284963
"Endothelial","NonHealing",1614,12.2676579925651,0.16757852741542
"Fibroblast","DM",4647,9.42543576500968,0.118772045699318
"Fibroblast","Healing",9964,19.6206342834203,0.0709855252452213
"Fibroblast","Healthy",12224,6.06184554973822,0.112059742947493
"Fibroblast","NonHealing",4184,9.29732313575526,0.105143433251291
"Keratinocyte","DM",1379,15.6635242929659,0.123365039890983
"Keratinocyte","Healing",2335,33.9614561027837,0.246304809293355
"Keratinocyte","Healthy",6821,10.4090309338807,0.0694186080463661
"Keratinocyte","NonHealing",2762,13.3598841419261,0.0802883394904884
"Lymphatic_Endo","DM",184,21.7391304347826,0.149322461576248
"Lymphatic_Endo","Healing",174,28.735632183908,0.102910135152452
"Lymphatic_Endo","Healthy",394,10.4060913705584,0.077732751917797
"Lymphatic_Endo","NonHealing",140,17.8571428571429,0.349482012212833
"Macrophage","DM",311,10.6109324758842,0.157129379936601
"Macrophage","Healing",1001,18.7812187812188,0.173260847748969
"Macrophage","Healthy",536,9.88805970149254,0.275644837906906
"Macrophage","NonHealing",1181,11.0076206604572,0.0956771145137914
"Mast_cell","DM",123,1.6260162601626,0.17348600536875
"Mast_cell","Healing",826,4.60048426150121,0.12751736682444
"Mast_cell","Healthy",1094,0.914076782449726,0.0539345656309982
"Mast_cell","NonHealing",635,0.78740157480315,0.0451333628936222
"Melanocyte","DM",97,2.06185567010309,0.127197000917425
"Melanocyte","Healing",14,14.2857142857143,0.113793103448276
"Melanocyte","Healthy",562,1.95729537366548,0.0437649406694002
"Melanocyte","NonHealing",264,4.54545454545455,0.153653208639392
"Myeloid","DM",252,21.8253968253968,-0.0153949262245255
"Myeloid","Healing",1506,43.7583001328021,0.0726550436994115
"Myeloid","Healthy",729,25.6515775034294,0.177556817219528
"Myeloid","NonHealing",801,28.3395755305868,0.17422809389579
"Pericyte","DM",1001,5.89410589410589,0.1173171122913
"Pericyte","Healing",3363,16.8004757656854,0.120939377051556
"Pericyte","Healthy",2821,9.64197093229351,0.243304248264841
"Pericyte","NonHealing",1396,11.3896848137536,0.160908728800926
"Smooth_Muscle","DM",765,5.09803921568627,0.117726110811013
"Smooth_Muscle","Healing",1811,10.6018774157924,0.0725813435348528
"Smooth_Muscle","Healthy",3280,3.8719512195122,0.0633904631167118
"Smooth_Muscle","NonHealing",1778,5.28683914510686,0.05228110858973
"T_cell","DM",647,4.32766615146832,0.0753548680519361
"T_cell","Healing",2000,8.5,0.110955391243344
"T_cell","Healthy",1523,7.02560735390676,0.149079034480847
"T_cell","NonHealing",1781,4.7164514317799,0.105343323269945
