"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"NPC1",2.83700663347376e-05,0.712430871437576,0.161,0.112,0.70499614841823,"NPC1","Endothelial"
"TACR1",2.87486954910659e-05,-0.537177831690551,0.136,0.182,0.714405082952989,"TACR1","Endothelial"
"ACACB",2.89316101153388e-05,-0.842858638716909,0.126,0.169,0.718950511366169,"ACACB","Endothelial"
"PITPNC1",2.90770465814856e-05,0.308169559738127,0.313,0.243,0.722564607549917,"PITPNC1","Endothelial"
"SPATS2L",2.93261670373049e-05,0.373994050638139,0.411,0.34,0.728755250877026,"SPATS2L","Endothelial"
"KIAA0930",2.95333819392053e-05,0.353111374251032,0.106,0.066,0.733904541189251,"KIAA0930","Endothelial"
"MALL",2.96690585266695e-05,0.383382873603497,0.467,0.399,0.737276104387738,"MALL","Endothelial"
"RAB32",2.96712929962765e-05,0.424426443776358,0.263,0.204,0.737331630957471,"RAB32","Endothelial"
"TRIP6",3.00620258661095e-05,0.433252016014629,0.177,0.126,0.747041342772821,"TRIP6","Endothelial"
"TMEM248",3.01144725898425e-05,0.359572074187892,0.295,0.227,0.748344643857586,"TMEM248","Endothelial"
"DLL4",3.01837534373924e-05,-0.374899878100214,0.213,0.265,0.750066272919201,"DLL4","Endothelial"
"NHLRC3",3.03110611144542e-05,-0.666338036017795,0.131,0.174,0.753229868694188,"NHLRC3","Endothelial"
"TNFRSF10B",3.05677871790961e-05,0.300880590314357,0.295,0.232,0.759609511400538,"TNFRSF10B","Endothelial"
"DAZAP1",3.06503331269569e-05,0.403705244254929,0.302,0.235,0.761660778204879,"DAZAP1","Endothelial"
"CTSC",3.07097914739293e-05,-0.35526291051717,0.356,0.404,0.763138318127144,"CTSC","Endothelial"
"CORO1C",3.08918476341251e-05,0.294863757632718,0.352,0.283,0.767662413708009,"CORO1C","Endothelial"
"TGFB1I1",3.16699012334322e-05,0.342581309996351,0.372,0.305,0.78699704565079,"TGFB1I1","Endothelial"
"CDK17",3.18736419844241e-05,0.460550094131887,0.28,0.217,0.792060003312938,"CDK17","Endothelial"
"RIN1",3.22800155367267e-05,0.819326015294431,0.101,0.063,0.802158386087659,"RIN1","Endothelial"
"ANXA5",3.23796569144544e-05,0.260023242390422,0.647,0.614,0.804634474324192,"ANXA5","Endothelial"
"WDR26",3.24308946523107e-05,0.493390881422701,0.268,0.209,0.805907732109922,"WDR26","Endothelial"
"C11orf96",3.24318323887301e-05,0.327456497416754,0.374,0.31,0.805931034859944,"C11orf96","Endothelial"
"SMDT1",3.29023744362429e-05,-0.401007233021765,0.413,0.457,0.817624004740636,"SMDT1","Endothelial"
"TUBB2A",3.31470132471699e-05,0.40568411733212,0.31,0.247,0.823703279192172,"TUBB2A","Endothelial"
"NOP16",3.31976259553005e-05,0.33364639102282,0.177,0.126,0.824961004989217,"NOP16","Endothelial"
"UBA6",3.34594195744668e-05,0.479974952658598,0.284,0.221,0.831466576425501,"UBA6","Endothelial"
"CITED4",3.37933539672299e-05,0.765904392658542,0.135,0.092,0.839764846085664,"CITED4","Endothelial"
"EIF4EBP1",3.38143252808619e-05,0.470978743035325,0.276,0.217,0.840285983229417,"EIF4EBP1","Endothelial"
"TWSG1",3.46048245762265e-05,0.563959300751749,0.155,0.107,0.859929890719229,"TWSG1","Endothelial"
"PMP22",3.46353693253834e-05,0.262425674272854,0.566,0.512,0.860688927735777,"PMP22","Endothelial"
"RANBP6",3.48137312997328e-05,0.62026005013123,0.165,0.116,0.86512122279836,"RANBP6","Endothelial"
"GPX8",3.48465251227018e-05,0.587419594656619,0.159,0.112,0.86593614929914,"GPX8","Endothelial"
"SRM",3.51225322285393e-05,0.340063445937847,0.351,0.284,0.872794925879201,"SRM","Endothelial"
"CMTM7",3.53953860438204e-05,0.772934674188394,0.105,0.066,0.879575343188937,"CMTM7","Endothelial"
"MRPL52",3.59039814301815e-05,0.369127623296887,0.425,0.351,0.892213938540011,"MRPL52","Endothelial"
"ERG",3.70205878791219e-05,0.323697733810103,0.488,0.418,0.919961608796179,"ERG","Endothelial"
"ATP11A",3.70642457882135e-05,0.52588521164469,0.233,0.177,0.921046507837107,"ATP11A","Endothelial"
"ZBTB10",3.79193331364795e-05,0.505054104856411,0.222,0.167,0.942295428441516,"ZBTB10","Endothelial"
"GALNT1",3.92478966711318e-05,0.458639710363151,0.284,0.227,0.975310232277626,"GALNT1","Endothelial"
"KLHDC8B",3.94862086020438e-05,-0.631394137024904,0.126,0.168,0.98123228376079,"KLHDC8B","Endothelial"
"PLEKHO2",3.97781376627869e-05,0.386321087168738,0.194,0.141,0.988486720920254,"PLEKHO2","Endothelial"
"PPP2CB",4.02178222647415e-05,0.295381692515384,0.296,0.229,0.999412883278826,"PPP2CB","Endothelial"
"DUSP5",4.12084046012413e-05,0.312065312843455,0.353,0.293,1,"DUSP5","Endothelial"
"KLHL42",4.14555874804569e-05,0.716451791975105,0.185,0.134,1,"KLHL42","Endothelial"
"CUTA",4.15774933684724e-05,-0.388132052378235,0.424,0.462,1,"CUTA","Endothelial"
"FNTA",4.18976688271755e-05,-0.432255554104687,0.309,0.351,1,"FNTA","Endothelial"
"PIP5K1A",4.31514647547413e-05,0.751762518848548,0.121,0.08,1,"PIP5K1A","Endothelial"
"NOLC1",4.32237361555093e-05,0.267576897649306,0.237,0.179,1,"NOLC1","Endothelial"
"KLF8",4.34374481998926e-05,-0.683866644376029,0.09,0.129,1,"KLF8","Endothelial"
"BCL2L1",4.34375177938746e-05,0.405956787944978,0.205,0.151,1,"BCL2L1","Endothelial"
"SURF4",4.34632761677846e-05,0.35162453910472,0.334,0.269,1,"SURF4","Endothelial"
