"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"IFI6",1.28655617765037e-26,0.25538567371972,0.467,0.354,3.19709210146116e-22,"IFI6","Fibroblast"
"GTPBP4",1.33636911759557e-26,0.473178656944114,0.261,0.17,3.320877257225e-22,"GTPBP4","Fibroblast"
"GMPPA",1.68126946203169e-26,0.29399039438645,0.256,0.163,4.17795461314875e-22,"GMPPA","Fibroblast"
"RNF144A",1.70554968833964e-26,0.460789581705001,0.183,0.106,4.238290975524e-22,"RNF144A","Fibroblast"
"PHF3",1.74860142727089e-26,-0.640418073004394,0.343,0.403,4.34527454676816e-22,"PHF3","Fibroblast"
"NEK6",1.9498747841167e-26,0.421934048008688,0.169,0.094,4.84543883852999e-22,"NEK6","Fibroblast"
"IRX5",1.97396753280095e-26,-1.45505678517358,0.095,0.149,4.90530931901036e-22,"IRX5","Fibroblast"
"RCC2",2.0235954891025e-26,0.38992524358078,0.233,0.147,5.02863479041972e-22,"RCC2","Fibroblast"
"CCND1",2.07244120090482e-26,0.522129009302711,0.322,0.228,5.15001638424848e-22,"CCND1","Fibroblast"
"SSBP2",2.18188357547962e-26,-0.708338629042822,0.234,0.304,5.42198068506686e-22,"SSBP2","Fibroblast"
"LRRK2",2.2630090822667e-26,-1.31457791692345,0.06,0.109,5.62357756943275e-22,"LRRK2","Fibroblast"
"GTF2E2",2.93583431418092e-26,0.26952841113216,0.246,0.155,7.29554827073958e-22,"GTF2E2","Fibroblast"
"HMOX1",2.98725172026212e-26,0.955530509401632,0.17,0.098,7.42332052485137e-22,"HMOX1","Fibroblast"
"WASF2",3.26007934917324e-26,-0.349641479774372,0.704,0.696,8.1012971826955e-22,"WASF2","Fibroblast"
"BCL2",3.45735857982584e-26,-1.1641563517031,0.056,0.104,8.59153607086722e-22,"BCL2","Fibroblast"
"NRAS",3.60513083144431e-26,0.505433600641046,0.17,0.097,8.95875011613911e-22,"NRAS","Fibroblast"
"PTRH2",3.7259144168142e-26,0.592054776804081,0.16,0.089,9.25889732578328e-22,"PTRH2","Fibroblast"
"ADSS",3.77668435547352e-26,0.363091149909369,0.292,0.196,9.38506062335169e-22,"ADSS","Fibroblast"
"YIPF2",4.01060056879133e-26,0.304838453496779,0.388,0.278,9.96634241344647e-22,"YIPF2","Fibroblast"
"TNFAIP1",4.04797852961792e-26,0.55173515298981,0.155,0.086,1.00592266461005e-21,"TNFAIP1","Fibroblast"
"POLR3D",4.61416595971821e-26,0.474729894750506,0.187,0.11,1.14662024098998e-21,"POLR3D","Fibroblast"
"RAP1B",4.95948237625172e-26,0.252071094384956,0.747,0.624,1.23243137049855e-21,"RAP1B","Fibroblast"
"KPNA2",5.1822078908895e-26,0.616254160938325,0.19,0.114,1.28777866088604e-21,"KPNA2","Fibroblast"
"ADIPOR1",5.25067662792338e-26,0.290702817214379,0.294,0.195,1.30479314203896e-21,"ADIPOR1","Fibroblast"
"RRAS",5.44762606313369e-26,-0.589999765050284,0.449,0.488,1.35373507668872e-21,"RRAS","Fibroblast"
"NUDT22",5.56614127472665e-26,0.302356213180162,0.319,0.216,1.38318610676957e-21,"NUDT22","Fibroblast"
"EPDR1",5.86290948810333e-26,0.306971307566745,0.27,0.177,1.45693300779368e-21,"EPDR1","Fibroblast"
"EBNA1BP2",5.87544572841068e-26,0.393680434240114,0.364,0.261,1.46004826351005e-21,"EBNA1BP2","Fibroblast"
