"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"TM7SF3",7.87092332957347e-20,-0.867429734661912,0.08,0.231,1.95592444739901e-15,"TM7SF3","Macrophage"
"SUGT1",7.99875938353199e-20,-0.568243841836194,0.187,0.384,1.9876917068077e-15,"SUGT1","Macrophage"
"AKR7A2",8.10946571613547e-20,-1.11904930732768,0.075,0.221,2.01520223045966e-15,"AKR7A2","Macrophage"
"DIAPH2",8.12141167779306e-20,-0.739171786057157,0.112,0.279,2.01817080193158e-15,"DIAPH2","Macrophage"
"SLC15A3",8.13874762100201e-20,-0.458938244566619,0.261,0.485,2.022478783819e-15,"SLC15A3","Macrophage"
"NAPRT",8.33484628017851e-20,-0.540320231826382,0.177,0.375,2.07120930062436e-15,"NAPRT","Macrophage"
"ANKRD36C",8.58952723917704e-20,-1.27319167739417,0.061,0.199,2.13449751893549e-15,"ANKRD36C","Macrophage"
"ABCC5",8.76868143076482e-20,-0.933203050081011,0.085,0.237,2.17901733554506e-15,"ABCC5","Macrophage"
"HHEX",8.7692656166334e-20,-0.637282864379892,0.133,0.31,2.1791625057334e-15,"HHEX","Macrophage"
"RPL15",9.00861270039211e-20,-0.295465809289108,0.895,0.981,2.23864025604744e-15,"RPL15","Macrophage"
"YIPF3",9.05959517176906e-20,-0.624181487180287,0.176,0.374,2.25130940018461e-15,"YIPF3","Macrophage"
"NR1D1",9.46256451212782e-20,-0.811760025394986,0.091,0.248,2.35144728126376e-15,"NR1D1","Macrophage"
"SERBP1",9.84521416662638e-20,-0.3925651959075,0.38,0.648,2.44653572040665e-15,"SERBP1","Macrophage"
"USF2",1.00488591177176e-19,-0.434417090642049,0.303,0.549,2.49714149075282e-15,"USF2","Macrophage"
"KMT2C",1.03619159294334e-19,-0.265484144381851,0.237,0.457,2.5749361084642e-15,"KMT2C","Macrophage"
"PPP1R12A",1.06385327733182e-19,-0.438918450912607,0.281,0.512,2.64367539416957e-15,"PPP1R12A","Macrophage"
"ZNF721",1.08617674768114e-19,-1.50400981172684,0.048,0.173,2.69914921798763e-15,"ZNF721","Macrophage"
"ITPRIPL2",1.09863726052142e-19,-0.615754772923929,0.169,0.359,2.73011359239572e-15,"ITPRIPL2","Macrophage"
"VAMP2",1.10481365292458e-19,-0.516477800692839,0.22,0.43,2.74546192751757e-15,"VAMP2","Macrophage"
"MARCO",1.16269680573417e-19,-0.68447534273594,0.364,0.57,2.88930156224942e-15,"MARCO","Macrophage"
"ANTXR2",1.2236624426028e-19,-0.527350597441208,0.148,0.333,3.04080116986795e-15,"ANTXR2","Macrophage"
"TRIM38",1.27549246524835e-19,-0.458400524550541,0.256,0.477,3.16959877614214e-15,"TRIM38","Macrophage"
"FAM162A",1.29691673324828e-19,-0.559483252351016,0.142,0.323,3.22283808212198e-15,"FAM162A","Macrophage"
"ELOB",1.31651330993396e-19,0.913818500931353,0.701,0.688,3.27153557518589e-15,"ELOB","Macrophage"
"PRKACB",1.33208784503255e-19,-0.757027247157313,0.172,0.357,3.31023829490589e-15,"PRKACB","Macrophage"
"LRRC4C",1.42081914388896e-19,-2.78750149512514,0.012,0.108,3.53073557256406e-15,"LRRC4C","Macrophage"
"SLC38A2",1.53324288162161e-19,-0.520453620482784,0.325,0.556,3.8101085608297e-15,"SLC38A2","Macrophage"
"ATP5PB",1.54401851043246e-19,-0.526624048335701,0.404,0.636,3.83688599842466e-15,"ATP5PB","Macrophage"
"CTSF",1.57335901545376e-19,-1.02890320901243,0.05,0.179,3.9097971534026e-15,"CTSF","Macrophage"
"PMVK",1.60895177082222e-19,-0.701174628232872,0.18,0.373,3.99824515049322e-15,"PMVK","Macrophage"
"DIRC2",1.62862214008398e-19,-1.27448381088619,0.064,0.202,4.04712601810869e-15,"DIRC2","Macrophage"
"OS9",1.73303467739949e-19,-0.406680643845232,0.414,0.661,4.30659117333774e-15,"OS9","Macrophage"
"KIAA0100",1.793522615016e-19,-0.750337019516404,0.096,0.253,4.45690369831475e-15,"KIAA0100","Macrophage"
"FAM53C",1.80669732661677e-19,-1.1262021973067,0.122,0.283,4.48964285664267e-15,"FAM53C","Macrophage"
"RPS2",2.07661010797075e-19,-0.267385498403613,0.927,0.992,5.16037611830732e-15,"RPS2","Macrophage"
"MAFG",2.14393048442753e-19,-0.578428687996921,0.203,0.398,5.3276672538024e-15,"MAFG","Macrophage"
"HLA-DOA",2.22530070069567e-19,1.65567897115384,0.243,0.105,5.52987224122873e-15,"HLA-DOA","Macrophage"
"IL6R",2.28553151533888e-19,-0.393715560317758,0.17,0.365,5.67954581561712e-15,"IL6R","Macrophage"
"GABPB1-AS1",2.28936975730559e-19,-1.08621118499092,0.073,0.215,5.68908384690438e-15,"GABPB1-AS1","Macrophage"
"OLR1",2.30321979181984e-19,2.9188336384109,0.163,0.05,5.7235011826723e-15,"OLR1","Macrophage"
"TNFRSF1A",2.35181993865926e-19,-0.308426127995816,0.421,0.685,5.84427254756825e-15,"TNFRSF1A","Macrophage"
"FOXRED2",2.37506633435604e-19,-1.52219973676808,0.032,0.146,5.90203984087477e-15,"FOXRED2","Macrophage"
