"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"ACTG1",1.04326244949519e-24,-0.340090243659678,0.918,0.964,2.59250718699555e-20,"ACTG1","T_cell"
"KRT5",5.16727647772468e-24,1.73594367158769,0.172,0.066,1.28406820471458e-19,"KRT5","T_cell"
"AES",5.29204072535731e-24,-0.583266330286216,0.513,0.631,1.31507212025129e-19,"AES","T_cell"
"RPL36",1.49319544788459e-23,0.272856788374061,0.946,0.953,3.71059068799322e-19,"RPL36","T_cell"
"KLRD1",2.37878413661211e-23,1.43062308769684,0.194,0.083,5.91127857948108e-19,"KLRD1","T_cell"
"FOSB",4.92088543988867e-23,-0.718067418561206,0.517,0.638,1.22284003181233e-18,"FOSB","T_cell"
"NEAT1",5.17155664058586e-23,0.485159999199799,0.862,0.796,1.28513182518559e-18,"NEAT1","T_cell"
"SELL",8.01401624184448e-23,1.56825476024511,0.172,0.067,1.99148303609835e-18,"SELL","T_cell"
"RNASET2",1.07998656886133e-22,-0.807967506802927,0.298,0.43,2.68376662362041e-18,"RNASET2","T_cell"
"S100A2",5.67248781053609e-22,2.13327753975257,0.102,0.024,1.40961322091822e-17,"S100A2","T_cell"
"MARCH9",9.72776302715497e-22,-1.30884770842907,0.101,0.208,2.41734911224801e-17,"MARCH9","T_cell"
"MT-ND1",1.19311978458782e-21,-0.320568264383073,0.962,0.991,2.96490266470073e-17,"MT-ND1","T_cell"
"HSPB1",1.2718964774358e-21,0.618492269812944,0.541,0.409,3.16066274642796e-17,"HSPB1","T_cell"
"SFN",1.33512937226073e-21,1.43215956269293,0.134,0.043,3.31779649006792e-17,"SFN","T_cell"
"EEF1B2",2.01807738770222e-21,-0.315865460871629,0.822,0.892,5.01492230844001e-17,"EEF1B2","T_cell"
"RPL37",3.67955682059434e-21,0.295453197342169,0.951,0.977,9.14369869917694e-17,"RPL37","T_cell"
"FOS",4.05746204067573e-21,-0.464165151541269,0.696,0.798,1.00827931710792e-16,"FOS","T_cell"
"JAML",4.79672082592843e-21,-0.809892215757247,0.214,0.344,1.19198512524321e-16,"JAML","T_cell"
"ITM2B",1.11644060602072e-20,-0.363734281261223,0.744,0.824,2.77435490596148e-16,"ITM2B","T_cell"
"HLA-E",1.12014160456841e-20,-0.270591361062494,0.863,0.914,2.78355188735249e-16,"HLA-E","T_cell"
"IFITM2",2.2956046973216e-20,0.674011878788575,0.656,0.542,5.70457767284417e-16,"IFITM2","T_cell"
"PTMA",1.06212846007964e-19,0.27383845690162,0.985,0.989,2.63938922329789e-15,"PTMA","T_cell"
"COL1A2",2.09907939748323e-19,1.6346572268569,0.224,0.118,5.21621230274583e-15,"COL1A2","T_cell"
"VMP1",3.26997371975189e-19,0.810971214824237,0.525,0.409,8.12588469358345e-15,"VMP1","T_cell"
"ARL5B",5.57088665822874e-19,1.19526964124523,0.194,0.093,1.38436533456984e-14,"ARL5B","T_cell"
"CALM1",8.43615195894383e-19,-0.294342806241629,0.864,0.913,2.09638376179754e-14,"CALM1","T_cell"
"NKG7",1.1907877219282e-18,0.779315583554445,0.374,0.255,2.95910748899158e-14,"NKG7","T_cell"
"ZEB2",1.22997106185334e-18,1.10205964712917,0.273,0.159,3.05647808870554e-14,"ZEB2","T_cell"
"FTL",1.39845645981566e-18,-0.260517882319958,0.871,0.911,3.47516430264193e-14,"FTL","T_cell"
"CD40LG",1.78279870956944e-18,-0.72638992270508,0.246,0.367,4.43025479328005e-14,"CD40LG","T_cell"
"HSP90AB1",2.80468139887154e-18,0.519621683971264,0.86,0.846,6.96963327619577e-14,"HSP90AB1","T_cell"
"SRGN",4.10394047005762e-18,0.338970108982283,0.899,0.866,1.01982920680932e-13,"SRGN","T_cell"
"CACYBP",5.46612312153664e-18,0.676135324146798,0.513,0.398,1.35833159570185e-13,"CACYBP","T_cell"
"SH3BGRL3",7.00290247949888e-18,-0.253170249986125,0.88,0.93,1.74022126615547e-13,"SH3BGRL3","T_cell"
"CFL1",8.05874252200414e-18,-0.257111595310596,0.853,0.91,2.00259751671803e-13,"CFL1","T_cell"
"IL7R",9.41210697368094e-18,-0.51430210796703,0.556,0.678,2.33890858295971e-13,"IL7R","T_cell"
"ANXA1",1.55222783396421e-17,-0.279633951768543,0.773,0.84,3.85728616740106e-13,"ANXA1","T_cell"
"KRT16",2.16527213862058e-17,1.30393225856348,0.26,0.153,5.38070126447214e-13,"KRT16","T_cell"
"MYL12A",2.53527144102809e-17,-0.305847977943136,0.848,0.893,6.30014953095479e-13,"MYL12A","T_cell"
"HSPA1B",3.68529836586238e-17,0.390279196757558,0.875,0.826,9.15796643916803e-13,"HSPA1B","T_cell"
"CHORDC1",4.05837796359654e-17,0.876014361899339,0.329,0.211,1.00850692395374e-12,"CHORDC1","T_cell"
"CISH",5.56532241450251e-17,-1.0252793175948,0.104,0.199,1.38298262000387e-12,"CISH","T_cell"
"CYTIP",1.68211751506514e-16,0.549157264440734,0.578,0.476,4.18006202493688e-12,"CYTIP","T_cell"
"TMEM273",1.86084559482493e-16,-1.15729868272355,0.062,0.143,4.62420130313995e-12,"TMEM273","T_cell"
"STK17A",2.03763899000786e-16,0.617281421944091,0.511,0.39,5.06353289016954e-12,"STK17A","T_cell"
"GZMK",2.10484286409438e-16,0.904062889923117,0.21,0.11,5.23053451727453e-12,"GZMK","T_cell"
"HSPA8",2.6761484116706e-16,0.436757553803767,0.899,0.898,6.65022880300144e-12,"HSPA8","T_cell"
"GSN",2.90191042262929e-16,-1.66219425556104,0.066,0.148,7.21124740023378e-12,"GSN","T_cell"
"RGS1",3.36373647798747e-16,0.912402437727042,0.474,0.36,8.35888514779886e-12,"RGS1","T_cell"
"CLK1",6.68292219136735e-16,0.636592823924094,0.524,0.412,1.66070616455479e-11,"CLK1","T_cell"
"UBB",9.07830213796042e-16,0.403993084933651,0.881,0.861,2.25595808128317e-11,"UBB","T_cell"
"EMP3",1.14717088486661e-15,-0.282197732559881,0.666,0.768,2.85071964889353e-11,"EMP3","T_cell"
"INPP4B",1.31728703152862e-15,-1.03435110350108,0.14,0.232,3.27345827334862e-11,"INPP4B","T_cell"
"JUN",1.47525412944688e-15,0.386666482727504,0.904,0.855,3.66600651167549e-11,"JUN","T_cell"
"SPARC",1.88798085108576e-15,1.60284094131476,0.148,0.069,4.69163241494811e-11,"SPARC","T_cell"
"CTNNB1",2.19165324872996e-15,1.1743494609595,0.206,0.112,5.44625832309394e-11,"CTNNB1","T_cell"
"TRAC",2.40781406188648e-15,-0.313228311243958,0.649,0.771,5.98341794378789e-11,"TRAC","T_cell"
"MCL1",3.82633988103245e-15,0.460781490589661,0.675,0.588,9.50845460436564e-11,"MCL1","T_cell"
"ERP29",6.71727363870396e-15,-0.517805026793178,0.42,0.521,1.66924249921793e-10,"ERP29","T_cell"
"CD7",8.910967635554e-15,0.55420699201748,0.464,0.342,2.21437545743517e-10,"CD7","T_cell"
"HAGH",8.99797038927023e-15,-0.8347237628207,0.13,0.222,2.23599564173365e-10,"HAGH","T_cell"
"DNAJB4",1.0471408534447e-14,1.25058567883254,0.188,0.101,2.60214502081007e-10,"DNAJB4","T_cell"
"FURIN",1.08700463680449e-14,1.38171493335298,0.143,0.066,2.70120652245915e-10,"FURIN","T_cell"
"IFNG",1.22589614345404e-14,0.715685563607472,0.202,0.111,3.0463519164833e-10,"IFNG","T_cell"
"CCL4",1.37398188962537e-14,0.79398360757122,0.275,0.176,3.41434499571904e-10,"CCL4","T_cell"
"IL6R",1.49995755231882e-14,-1.16615628362665,0.056,0.128,3.72739451751228e-10,"IL6R","T_cell"
"SKIL",2.21681211103037e-14,1.41884376367809,0.149,0.071,5.50877809591046e-10,"SKIL","T_cell"
"GBP4",2.51727885377314e-14,1.5346177668454,0.112,0.045,6.25543795162625e-10,"GBP4","T_cell"
"CLEC2B",2.96012554843772e-14,0.503073516580691,0.561,0.455,7.35591198786772e-10,"CLEC2B","T_cell"
"NFKBIZ",3.27810846998937e-14,0.761324173320819,0.348,0.241,8.14609954792357e-10,"NFKBIZ","T_cell"
"TGFB1",4.5822379166077e-14,-0.492310424532281,0.433,0.529,1.13868612227701e-09,"TGFB1","T_cell"
"HMGB2",4.99907713634835e-14,0.81041869384407,0.427,0.323,1.24227066838256e-09,"HMGB2","T_cell"
"TRABD2A",5.23562017677653e-14,-1.20609963183396,0.072,0.145,1.30105161392897e-09,"TRABD2A","T_cell"
"TOMM7",5.46745811637486e-14,0.317337249849809,0.804,0.786,1.35866334191915e-09,"TOMM7","T_cell"
"MIAT",5.65963153500397e-14,1.26153526342486,0.144,0.068,1.40641843644849e-09,"MIAT","T_cell"
"RPL17",6.18210452818285e-14,0.485040206072745,0.67,0.608,1.53625297525344e-09,"RPL17","T_cell"
"SLC2A4RG",7.54442464362638e-14,-0.791185904743875,0.159,0.25,1.87478952394116e-09,"SLC2A4RG","T_cell"
"PBXIP1",7.78036185401914e-14,-0.50588468027372,0.364,0.464,1.93341992072376e-09,"PBXIP1","T_cell"
"CYTOR",8.46130500221898e-14,0.900320718288413,0.324,0.22,2.10263429305142e-09,"CYTOR","T_cell"
"RNH1",9.48284606529981e-14,-0.643273939063976,0.274,0.37,2.356487247227e-09,"RNH1","T_cell"
"ANXA6",1.33784652758587e-13,-0.5175820831855,0.329,0.431,3.32454862105089e-09,"ANXA6","T_cell"
"DPP4",1.93330408608391e-13,-1.07350755324792,0.106,0.187,4.80426065391852e-09,"DPP4","T_cell"
"CAPZB",1.98977362261761e-13,-0.401268395749727,0.493,0.59,4.94458745220477e-09,"CAPZB","T_cell"
"SERPINB9",2.40415855309283e-13,0.979090493108981,0.28,0.182,5.97433400443569e-09,"SERPINB9","T_cell"
"JAK3",2.427985380407e-13,0.787990939233353,0.173,0.089,6.03354367031139e-09,"JAK3","T_cell"
"BTG1",3.42815702623958e-13,0.261240040649936,0.925,0.893,8.51897021020534e-09,"BTG1","T_cell"
"RPL4",3.839406219137e-13,-0.25121867270333,0.864,0.913,9.54092445455543e-09,"RPL4","T_cell"
"KANSL1-AS1",3.93495659888234e-13,-1.09398967351081,0.07,0.14,9.77836714822262e-09,"KANSL1-AS1","T_cell"
"GPX4",4.28365284670775e-13,-0.406318795588385,0.501,0.592,1.06448773240688e-08,"GPX4","T_cell"
"OGT",4.70709757269923e-13,0.740621161283865,0.206,0.116,1.16971374681576e-08,"OGT","T_cell"
"C1orf56",5.84934918171316e-13,1.01161683626711,0.197,0.112,1.45356327165572e-08,"C1orf56","T_cell"
"HLA-DRB1",6.87847448683997e-13,0.899913134628482,0.248,0.157,1.70930090997973e-08,"HLA-DRB1","T_cell"
"PMVK",1.01791594952328e-12,-0.737055768118236,0.173,0.264,2.52952113456536e-08,"PMVK","T_cell"
"PMAIP1",1.10072804171596e-12,0.646432638230595,0.396,0.292,2.73530918366416e-08,"PMAIP1","T_cell"
"CD3G",1.13022941582769e-12,-0.386909444744064,0.426,0.533,2.80862009833181e-08,"CD3G","T_cell"
"OASL",1.16965848094175e-12,1.07900998949599,0.148,0.074,2.90660132514024e-08,"OASL","T_cell"
"DBP",1.40720483346025e-12,-1.16204468793802,0.074,0.144,3.49690401114871e-08,"DBP","T_cell"
"DNAJA4",1.42158205430625e-12,1.65793117498765,0.104,0.044,3.53263140495104e-08,"DNAJA4","T_cell"
"BCL2",1.83508760333657e-12,-0.554143845070242,0.222,0.321,4.56019269429137e-08,"BCL2","T_cell"
"TRA2B",2.06833054258167e-12,0.514411591687224,0.575,0.474,5.13980139831545e-08,"TRA2B","T_cell"
"HPGD",2.31687934506222e-12,-0.946172683250576,0.074,0.143,5.75744517247961e-08,"HPGD","T_cell"
"VPS28",2.54714575891809e-12,-0.39345494943012,0.34,0.44,6.32965721091144e-08,"VPS28","T_cell"
"BPTF",3.107329586712e-12,-0.542593667313987,0.276,0.368,7.72171402297933e-08,"BPTF","T_cell"
"MGST3",3.12400504553075e-12,-0.569899192519442,0.255,0.348,7.76315253814393e-08,"MGST3","T_cell"
"PPP1R14B",3.36316303703256e-12,-0.563174503052582,0.19,0.282,8.35746014702591e-08,"PPP1R14B","T_cell"
"IFI16",3.37098775142975e-12,0.614315511573087,0.468,0.372,8.37690456230293e-08,"IFI16","T_cell"
"PELI1",4.37137113475385e-12,1.28788864221592,0.126,0.06,1.08628572698633e-07,"PELI1","T_cell"
"SLC25A3",4.87972543124478e-12,-0.385435140899569,0.458,0.56,1.21261176966433e-07,"SLC25A3","T_cell"
"DHRS7",5.54372312036954e-12,-0.546671036423706,0.29,0.383,1.37761519541183e-07,"DHRS7","T_cell"
"CD3E",6.00496902749407e-12,-0.275322255801589,0.578,0.678,1.49223480333228e-07,"CD3E","T_cell"
"ITGB7",6.11356792237078e-12,-0.710508364602589,0.138,0.222,1.51922162870914e-07,"ITGB7","T_cell"
"LYST",6.17943419383573e-12,0.906177398464481,0.189,0.109,1.53558939716818e-07,"LYST","T_cell"
"ANXA2",7.14779219303636e-12,-0.357230276876743,0.467,0.568,1.77622635996954e-07,"ANXA2","T_cell"
"CREM",7.58396167121354e-12,0.542229706877453,0.452,0.354,1.88461447529657e-07,"CREM","T_cell"
"SELENOM",7.76812138789746e-12,-0.693237697031411,0.141,0.223,1.93037816489252e-07,"SELENOM","T_cell"
