"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"TMEM179B",1.32609643759818e-24,-0.858604737081769,0.187,0.395,3.29534964743149e-20,"TMEM179B","Myeloid"
"FOXO1",1.40982899187635e-24,-1.03710175239139,0.104,0.28,3.50342504481273e-20,"FOXO1","Myeloid"
"QARS",1.42204259646126e-24,-0.925781538134716,0.163,0.358,3.53377585220622e-20,"QARS","Myeloid"
"HIST1H2AC",1.43699115933053e-24,2.52524631487281,0.301,0.13,3.57092303093636e-20,"HIST1H2AC","Myeloid"
"ING2",1.58540196500377e-24,-1.02051881632424,0.124,0.305,3.93972388303438e-20,"ING2","Myeloid"
"ELP5",1.622786091088e-24,-1.24206002591334,0.087,0.245,4.03262343635369e-20,"ELP5","Myeloid"
"CCNB1IP1",1.7885109424406e-24,-1.40157627273904,0.105,0.267,4.4444496919649e-20,"CCNB1IP1","Myeloid"
"TTC3",2.05631425126215e-24,-0.784597534089664,0.244,0.471,5.10994091438644e-20,"TTC3","Myeloid"
"TOMM20",2.0889212212145e-24,-0.593902310473362,0.46,0.708,5.19096923471803e-20,"TOMM20","Myeloid"
"PDK4",2.58385861773041e-24,-1.50304058430531,0.056,0.195,6.42088866506006e-20,"PDK4","Myeloid"
"CAMK1D",2.63667300430257e-24,-0.97548858281597,0.159,0.355,6.55213241569188e-20,"CAMK1D","Myeloid"
"KCNQ1",2.65981218332401e-24,-1.24588754517408,0.086,0.245,6.60963327556016e-20,"KCNQ1","Myeloid"
"DEGS1",2.81532269567692e-24,-0.841438991553116,0.242,0.459,6.99607689875716e-20,"DEGS1","Myeloid"
"PLSCR1",2.92109399104368e-24,1.1301757656014,0.595,0.489,7.25891856774355e-20,"PLSCR1","Myeloid"
"SLC35D2",2.9290755981028e-24,-1.4601303518323,0.067,0.213,7.27875286128545e-20,"SLC35D2","Myeloid"
"GIMAP1",3.07342550740582e-24,-0.838050009861943,0.08,0.242,7.63746238590347e-20,"GIMAP1","Myeloid"
"KLF10",3.25535056350164e-24,-0.50289269034506,0.394,0.64,8.08954615030158e-20,"KLF10","Myeloid"
"ILF3-DT",3.96479978904761e-24,-1.11473832948597,0.103,0.27,9.85252747578331e-20,"ILF3-DT","Myeloid"
"NR1D1",4.00303369162357e-24,-2.00966257449342,0.027,0.136,9.94753872368457e-20,"NR1D1","Myeloid"
"SCAMP2",4.13479032176794e-24,-0.721408476526662,0.199,0.416,1.02749539495933e-19,"SCAMP2","Myeloid"
"OSGEP",4.41479618351768e-24,-1.01348608585177,0.131,0.311,1.09707685160414e-19,"OSGEP","Myeloid"
"NFATC1",4.83214651705111e-24,-1.21213166204243,0.097,0.26,1.2007884094872e-19,"NFATC1","Myeloid"
"HLA-DMB",5.23919054562719e-24,-0.553109587013993,0.684,0.871,1.30193885058836e-19,"HLA-DMB","Myeloid"
"HIST1H1C",5.64083963305708e-24,2.10538650130548,0.384,0.216,1.40174864881469e-19,"HIST1H1C","Myeloid"
"RPL8",5.94831125434925e-24,-0.333057992015572,0.961,0.998,1.47815534670579e-19,"RPL8","Myeloid"
"DAB2",6.15523997559252e-24,-0.943998309503895,0.242,0.456,1.52957713393474e-19,"DAB2","Myeloid"
"C14orf119",6.19334138996066e-24,-0.874113588946812,0.114,0.291,1.53904533540522e-19,"C14orf119","Myeloid"
"PMVK",6.48097700951935e-24,-1.0680885151745,0.124,0.298,1.61052278686556e-19,"PMVK","Myeloid"
"MARVELD1",6.60644253815262e-24,-1.4442233612936,0.052,0.185,1.64170097073093e-19,"MARVELD1","Myeloid"
"SAMD1",6.84026453998016e-24,-1.12150627799165,0.101,0.266,1.69980573818507e-19,"SAMD1","Myeloid"
"SEPT11",7.88905609599763e-24,-0.859365734354083,0.175,0.38,1.96043043985541e-19,"SEPT11","Myeloid"
"ERAP2",8.9743013424969e-24,-1.66678259176965,0.048,0.177,2.23011388361048e-19,"ERAP2","Myeloid"
"PPP1R10",1.06763075111798e-23,-0.679859051299578,0.349,0.584,2.65306241652818e-19,"PPP1R10","Myeloid"
"PRKCD",1.16695289553556e-23,-0.840254901600423,0.132,0.32,2.89987794540587e-19,"PRKCD","Myeloid"
"MIF4GD",1.37740805465378e-23,-1.06070714539833,0.164,0.35,3.42285901581465e-19,"MIF4GD","Myeloid"
"NDUFS3",1.58910497282782e-23,-0.682203976256823,0.229,0.453,3.94892585747713e-19,"NDUFS3","Myeloid"
"ABHD12",1.76528152145978e-23,-0.910150551829522,0.127,0.308,4.38672458082755e-19,"ABHD12","Myeloid"
"HDAC3",2.06000219204146e-23,-1.10515058397011,0.125,0.298,5.11910544722303e-19,"HDAC3","Myeloid"
"NHLRC3",2.34553962336828e-23,-1.43800137970562,0.08,0.228,5.82866596407018e-19,"NHLRC3","Myeloid"
"SURF1",2.45829763920195e-23,-0.702604748487538,0.22,0.434,6.10886963341683e-19,"SURF1","Myeloid"
"DUSP4",2.69929143683474e-23,1.59870688876962,0.265,0.091,6.70773922053433e-19,"DUSP4","Myeloid"
"BAG1",2.73230595693209e-23,-0.689397669845234,0.283,0.521,6.78978030297625e-19,"BAG1","Myeloid"
"HNRNPA1",2.82397617643967e-23,-0.419483819894165,0.766,0.951,7.01758079845258e-19,"HNRNPA1","Myeloid"
"PTPN18",3.44774706727727e-23,-0.614006154263911,0.212,0.433,8.56765146218403e-19,"PTPN18","Myeloid"
"DUSP23",3.63889585472805e-23,-0.674293655552361,0.21,0.421,9.0426561989992e-19,"DUSP23","Myeloid"
"TOR3A",3.8043119972137e-23,-0.997324140223483,0.163,0.35,9.45371531307603e-19,"TOR3A","Myeloid"
"C3orf58",3.81446301182094e-23,-0.862390167984593,0.142,0.328,9.47894058437502e-19,"C3orf58","Myeloid"
"IL1B",4.51095862803504e-23,0.746221229646322,0.811,0.66,1.12097321906671e-18,"IL1B","Myeloid"
"RASSF1",5.09297809554549e-23,-1.22168946247697,0.094,0.248,1.26560505674305e-18,"RASSF1","Myeloid"
"MID1IP1",5.62477437165136e-23,-0.923776310812181,0.216,0.421,1.39775643135536e-18,"MID1IP1","Myeloid"
"ECM1",5.68087287831439e-23,-1.32440974831461,0.053,0.186,1.41169691026113e-18,"ECM1","Myeloid"
"PNISR",5.95621567035847e-23,-0.663583629058194,0.452,0.695,1.48011959408408e-18,"PNISR","Myeloid"
"SH3BGRL3",6.19167348094271e-23,0.442661874841027,0.966,0.971,1.53863086001426e-18,"SH3BGRL3","Myeloid"
"FEZ2",6.67616176297007e-23,-0.774156881466319,0.195,0.395,1.65902619809806e-18,"FEZ2","Myeloid"
"SRSF8",6.91683970412494e-23,-1.58765672396475,0.06,0.192,1.71883466647505e-18,"SRSF8","Myeloid"
"EIF3H",7.34017156591238e-23,-0.515508220968893,0.588,0.825,1.82403263412923e-18,"EIF3H","Myeloid"
"KIAA0930",7.81099866776241e-23,-0.788273779244389,0.205,0.413,1.94103316893896e-18,"KIAA0930","Myeloid"
"GBP5",8.05663781706764e-23,2.93430410738946,0.21,0.059,2.00207449754131e-18,"GBP5","Myeloid"
"TGFBR2",8.1838843341324e-23,-0.643720865961964,0.171,0.371,2.0336952570319e-18,"TGFBR2","Myeloid"
"TM7SF3",8.46824643293869e-23,-1.51383649562964,0.055,0.186,2.10435923858526e-18,"TM7SF3","Myeloid"
"IMMT",8.90375645217977e-23,-1.05055043754503,0.159,0.34,2.21258347836667e-18,"IMMT","Myeloid"
"DUT",9.99928193061511e-23,-0.889653202058282,0.215,0.418,2.48482155975785e-18,"DUT","Myeloid"
"SLC25A37",1.11137241300951e-22,1.36413821951965,0.57,0.451,2.76176044632862e-18,"SLC25A37","Myeloid"
"PDCD4",1.1642530445624e-22,-0.768435640906445,0.159,0.352,2.89316881573757e-18,"PDCD4","Myeloid"
"RPL18A",1.18080842406794e-22,-0.37642792725712,0.961,0.995,2.93430893380884e-18,"RPL18A","Myeloid"
"CNPY3",1.25566566346831e-22,-0.59432565108145,0.367,0.608,3.12032917371874e-18,"CNPY3","Myeloid"
"DGKZ",1.31647825317156e-22,-0.824483547210526,0.167,0.362,3.27144845913134e-18,"DGKZ","Myeloid"
"RGS14",1.67620495036971e-22,-1.00879214483382,0.118,0.287,4.16536930166873e-18,"RGS14","Myeloid"
"TUBB6",1.68890154360447e-22,-0.685198507792663,0.21,0.421,4.1969203358571e-18,"TUBB6","Myeloid"
"EPN1",1.69412391738689e-22,-0.890134890127926,0.12,0.29,4.20989793470641e-18,"EPN1","Myeloid"
"BMP2K",1.71646329892096e-22,-0.668832143704629,0.255,0.476,4.26541129781859e-18,"BMP2K","Myeloid"
"BOD1L1",1.92435521900667e-22,-0.571401133632573,0.327,0.583,4.78202271923158e-18,"BOD1L1","Myeloid"
"RAN",2.13184246733245e-22,-0.531457474815,0.491,0.762,5.29762853132114e-18,"RAN","Myeloid"
"IFI16",2.13651761151777e-22,-0.498080581567966,0.467,0.713,5.30924626462165e-18,"IFI16","Myeloid"
