"celltype","HIF_healing","HIF_nonhealing","HIF_pval","NFKB_healing","NFKB_nonhealing","NFKB_pval","M1_healing","M1_nonhealing","M1_pval","M2_healing","M2_nonhealing","M2_pval"
"Endothelial",-0.048096235534454,-0.0906503176155941,6.82687204702495e-28,0.0384829146467362,-0.0353310514779755,2.06935727787045e-24,-0.0132664731601683,-0.0351550296896658,0.00049594749302107,-0.00963811422608259,-0.0173491256726322,0.00521145215413173
"Fibroblast",0.114407769511221,-0.0380406640623991,0,-0.0422489778937349,-0.0959325307168216,1.14079502346306e-51,-0.0363661778551122,-0.0913173982003197,2.89492718918818e-46,-0.0484793028528327,-0.0425842508618347,3.84808648177522e-05
"Keratinocyte",0.15046567460995,0.0748900944463383,1.17339319925106e-74,-0.0346640694861537,-0.00906089066896505,6.4029265188243e-18,-0.112978262014102,-0.103886469106708,0.000252978089574554,-0.0583714585441526,-0.0538790821376259,0.00207807380714304
"Lymphatic_Endo",-0.0265696800194913,-0.0838457775376612,2.04467293988317e-05,-0.120252545669601,-0.141294490159868,0.209056199071661,-0.115573469641897,-0.150697856885051,0.0367056690279931,0.0925500995269697,0.0507212595587427,0.000335896877128546
"Macrophage",0.041617132196611,-0.0909050377452695,3.29949163367192e-93,0.346807078482511,0.244946532369382,6.99552489463247e-11,0.401786342704456,0.225951925015651,4.43335003653102e-28,0.52884229803453,0.842445586571685,6.24422502146531e-88
"Mast_cell",-0.0914731802313963,-0.0951709807303101,0.865056067830887,0.154346566721146,0.0884289385718014,1.3497654602277e-11,-0.0439225298296362,-0.062296198116551,0.0185363546695372,0.00744749596203472,-0.00189777525574708,0.222255615217666
"Melanocyte",0.0325012799579698,-0.0560135397245599,0.0758001259362336,-0.0299091502066392,-0.149228742118092,0.00409659498721351,-0.174260656846235,-0.209156095999859,0.0792380209670403,-0.0427233356398696,-0.0483976128008586,0.365091683838033
"Myeloid",0.111226729807315,-0.0299452306094787,1.87623719636811e-95,0.782630039447186,0.575758661629551,7.49142406085246e-28,0.767517468254628,0.457107729835129,4.66019476715049e-50,0.140146384312968,0.238293791794497,7.98163562850479e-25
"Pericyte",-0.0308437683871023,-0.0781249236287619,2.86667444174304e-23,-0.0948764055274527,-0.105344531729165,0.0133757002872178,-0.0856233073751568,-0.096562081974572,0.154034375789045,-0.0468418464788749,-0.0448817636468048,0.240655531135381
"Smooth_Muscle",-0.0467781298804781,-0.0899080018247199,4.86492969332377e-32,-0.0717291036885431,-0.0722870754827136,0.133049563653653,-0.060724036284284,0.0120270081223342,1.09460226592543e-29,-0.0474064119670834,-0.0505053789852803,0.00701751638445154
"T_cell",-0.0706608845339562,-0.0718026358966259,0.909075392074787,0.18078685230381,0.149670669095162,3.61941463621772e-05,-0.0805372788060517,-0.084544418971842,0.58567221854286,0.00554843979386967,0.0223667991451635,5.17173629228297e-09
