"celltype","n_Healing","n_NonHealing","pct_Healing","pct_NonHealing","delta_pct"
"Endothelial",2267,1614,8.97430822216064,9.76052249637155,-0.786214274210911
"Fibroblast",9964,4184,39.4442025256324,25.3023705853895,14.1418319402429
"Keratinocyte",2335,2762,9.24349788211076,16.7029511369134,-7.45945325480264
"Lymphatic_Endo",174,140,0.688808835754721,0.846637639090469,-0.157828803335749
"Macrophage",1001,1181,3.96263014132457,7.14199322689889,-3.17936308557432
"Mast_cell",826,635,3.2698626341,3.84010643444606,-0.570243800346061
"Melanocyte",14,264,0.055421400577966,1.59651669085631,-1.54109529027835
"Myeloid",1506,801,5.9617592336012,4.84397677793904,1.11778245566216
"Pericyte",3363,1396,13.3130121531214,8.44218674407354,4.87082540904787
"Smooth_Muscle",1811,1778,7.16915403190689,10.752298016449,-3.58314398454207
"T_cell",2000,1781,7.91734293970943,10.7704402515723,-2.85309731186289
