"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"EIF1AD",0.494551088474671,-0.453868427522282,0.164,0.146,1,"EIF1AD","Keratinocyte"
"XPC",0.4997852326631,-0.477329740576863,0.186,0.165,1,"XPC","Keratinocyte"
"NR3C1",0.499881200142603,-0.360778985271358,0.424,0.377,1,"NR3C1","Keratinocyte"
"RNF141",0.501915839767435,-0.512198583916361,0.325,0.294,1,"RNF141","Keratinocyte"
"RPS6KA5",0.505519990718067,-0.602097964862919,0.129,0.13,1,"RPS6KA5","Keratinocyte"
"TIFA",0.512918826069616,-0.609562437976401,0.179,0.172,1,"TIFA","Keratinocyte"
"TGFBI",0.513158675901385,0.290130534409079,0.434,0.39,1,"TGFBI","Keratinocyte"
"SNX16",0.516700687827348,-0.381050979840857,0.104,0.094,1,"SNX16","Keratinocyte"
"B3GNT5",0.517419885686638,-0.298202091372881,0.289,0.255,1,"B3GNT5","Keratinocyte"
"ZNF703",0.523303641803533,-0.512762614533696,0.266,0.231,1,"ZNF703","Keratinocyte"
"ABHD5",0.528481030750174,-0.466283026424513,0.43,0.367,1,"ABHD5","Keratinocyte"
"AC010642.2",0.536490868453315,-0.377132679163934,0.217,0.19,1,"AC010642.2","Keratinocyte"
"CNBD2",0.539015539539482,-0.675091113717241,0.119,0.106,1,"CNBD2","Keratinocyte"
"PITPNA-AS1",0.543162075389769,-0.50338174409989,0.146,0.142,1,"PITPNA-AS1","Keratinocyte"
"PDCD4",0.545437871473644,-0.635291079923952,0.535,0.481,1,"PDCD4","Keratinocyte"
"VWA5A",0.549123655834991,-0.609545574658735,0.137,0.122,1,"VWA5A","Keratinocyte"
"DNAJC19",0.553448190181982,-0.315643564219422,0.436,0.371,1,"DNAJC19","Keratinocyte"
