"condition","n","M1_mean","M2_mean","M1_M2_ratio","HIF_mean","NFKB_mean"
"DM",563,-0.150209957176692,-0.0256617133120981,-0.382590725119726,-0.0862073441059886,0.113322584816174
"Healing",2507,0.129230375300902,-0.230004350772283,0.318547446677491,0.0594524650466241,0.616671587332212
"Healthy",1265,-0.126693742881824,-0.106887617429603,-0.272376834882601,-0.0957061397260349,0.172823549770555
"NonHealing",1982,-0.205431920820408,0.175206902088859,-0.424633314350622,-0.161384557718748,0.0933357586979951
