"ligand","receptor","pathway","sender","receiver","score_healing","score_nonhealing","delta"
"IL6","IL6R","IL6","Endothelial","Pericyte",0.0129959116609317,0,0.0129959116609317
"TGFB1","TGFBR1","TGFb","Keratinocyte","Myeloid",0.0250773753450494,0.0120924327831702,0.0129849425618791
"CCL2","CCR2","CCL","Fibroblast","Myeloid",0.100260846103043,0.0872932208613917,0.0129676252416514
"TNF","TNFRSF1A","TNF","Keratinocyte","Myeloid",0.0233613141231868,0.0104101559880048,0.012951158135182
"PDGFA","PDGFRA","PDGF","Pericyte","Mast_cell",0.0128630849590237,0,0.0128630849590237
"IL6","IL6R","IL6","Pericyte","Myeloid",0.0253057951206191,0.0124800383304108,0.0128257567902084
"TGFB1","TGFBR1","TGFb","Pericyte","Smooth_Muscle",0.0308217897752432,0.0180665343831542,0.012755255392089
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Smooth_Muscle",0.0127052486049251,0,0.0127052486049251
"IL6","IL6R","IL6","Fibroblast","Lymphatic_Endo",0.0126897916218407,0,0.0126897916218407
"TNF","TNFRSF1A","TNF","Lymphatic_Endo","Pericyte",0.012682269901752,0,0.012682269901752
"CCL2","CCR2","CCL","Lymphatic_Endo","Myeloid",0.0694948406708465,0.0568584916837232,0.0126363489871232
"CXCL8","CXCR1","CXCL","Macrophage","Keratinocyte",0.0126337262835632,0,0.0126337262835632
"TNF","TNFRSF1A","TNF","Pericyte","Smooth_Muscle",0.0377066857946793,0.0251721625959143,0.012534523198765
"IL6","IL6R","IL6","Lymphatic_Endo","Macrophage",0.0125183758398374,0,0.0125183758398374
"IL1B","IL1R1","IL1","Endothelial","Fibroblast",0.0125047636635828,0,0.0125047636635828
"IL1B","IL1R1","IL1","Keratinocyte","Smooth_Muscle",0.0124667747987823,0,0.0124667747987823
"IL6","IL6R","IL6","Mast_cell","Macrophage",0.0154716473174335,0.0278984678096442,-0.0124268204922107
"TGFB1","TGFBR1","TGFb","Pericyte","Pericyte",0.0334617539084487,0.0210788998722332,0.0123828540362155
"TNF","TNFRSF1A","TNF","Fibroblast","Lymphatic_Endo",0.0122877924769178,0,0.0122877924769178
"TNF","TNFRSF1A","TNF","Fibroblast","Keratinocyte",0.0122364633378121,0,0.0122364633378121
"CCL2","CCR2","CCL","Fibroblast","T_cell",0.0310688881735019,0.0430706699668732,-0.0120017817933713
"HGF","MET","HGF","Macrophage","Lymphatic_Endo",0,0.0119898008585211,-0.0119898008585211
"IL6","IL6R","IL6","Mast_cell","Smooth_Muscle",0,0.011971682864931,-0.011971682864931
"TGFB1","TGFBR1","TGFb","Keratinocyte","T_cell",0.0234348060286841,0.0114682670542788,0.0119665389744053
"CXCL8","CXCR1","CXCL","Macrophage","T_cell",0,0.0119506473195408,-0.0119506473195408
"IL6","IL6R","IL6","Melanocyte","Pericyte",0.0119304618274595,0,0.0119304618274595
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Endothelial",0.0119029306737068,0,0.0119029306737068
"IL1B","IL1R1","IL1","Mast_cell","Lymphatic_Endo",0.0118830761128231,0,0.0118830761128231
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Smooth_Muscle",0.0281518723464804,0.0162764011480398,0.0118754711984406
"IL6","IL6R","IL6","Fibroblast","Endothelial",0.0118433924889342,0,0.0118433924889342
"IL1B","IL1R1","IL1","Fibroblast","Endothelial",0.0117998406966862,0,0.0117998406966862
"FGF2","FGFR1","FGF","Endothelial","Lymphatic_Endo",0.056699128806203,0.0449219908374726,0.0117771379687303
"TGFB1","TGFBR1","TGFb","Fibroblast","Endothelial",0.0363275966556398,0.0246215570141089,0.0117060396415309
"FGF2","FGFR1","FGF","Pericyte","Fibroblast",0.039020723386466,0.0273233193216,0.0116974040648659
"TNF","TNFRSF1A","TNF","Fibroblast","Melanocyte",0.0116456607786562,0,0.0116456607786562
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Pericyte",0.0305631513091636,0.0189902846225859,0.0115728666865777
"TNF","TNFRSF1A","TNF","Lymphatic_Endo","Fibroblast",0.0115678278896623,0,0.0115678278896623
"IL1B","IL1R1","IL1","Fibroblast","Pericyte",0.0115485946134122,0,0.0115485946134122
"IL1B","IL1R1","IL1","Pericyte","Keratinocyte",0.0115052349735661,0,0.0115052349735661
"HGF","MET","HGF","Pericyte","Endothelial",0.0274356392341524,0.0388890283027248,-0.0114533890685724
"IL6","IL6R","IL6","Smooth_Muscle","Lymphatic_Endo",0.0114042477586653,0,0.0114042477586653
"IL1B","IL1R1","IL1","Pericyte","Melanocyte",0.011365160411956,0,0.011365160411956
"IL6","IL6R","IL6","Myeloid","Lymphatic_Endo",0.0113610294044044,0,0.0113610294044044
"CCL2","CCR2","CCL","Myeloid","T_cell",0.0119468104492406,0.0232715756594133,-0.0113247652101727
"PDGFA","PDGFRA","PDGF","Melanocyte","Macrophage",0.0112369948637589,0,0.0112369948637589
"CCL2","CCR2","CCL","Pericyte","Myeloid",0.0887912973587442,0.0999592950731589,-0.0111679977144147
"CCL2","CCR2","CCL","Mast_cell","T_cell",0,0.0111381836769303,-0.0111381836769303
"IL1B","IL1R1","IL1","Pericyte","Myeloid",0.0109289472009145,0,0.0109289472009145
"CCL2","CCR2","CCL","Macrophage","Keratinocyte",0,0.0109216813945876,-0.0109216813945876
"FGF2","FGFR1","FGF","Endothelial","Smooth_Muscle",0.035141351206246,0.0459927240352303,-0.0108513728289843
"TGFB1","TGFBR1","TGFb","Macrophage","Mast_cell",0.0338423174475013,0.0446897818667038,-0.0108474644192025
"TGFB1","TGFBR1","TGFb","Endothelial","Endothelial",0.0401691974159364,0.0293905185682528,0.0107786788476836
"FGF2","FGFR1","FGF","Pericyte","Melanocyte",0.0107166811020278,0,0.0107166811020278
"CCL2","CCR2","CCL","Endothelial","Myeloid",0.0829659860236858,0.0936787182042357,-0.0107127321805498
"IL6","IL6R","IL6","Smooth_Muscle","Endothelial",0.0106435933915934,0,0.0106435933915934
"CCL2","CCR2","CCL","Melanocyte","T_cell",0,0.0106428285115439,-0.0106428285115439
"IL6","IL6R","IL6","Myeloid","Endothelial",0.0106032576676121,0,0.0106032576676121
"CCL2","CCR2","CCL","Mast_cell","Myeloid",0.0119883049890854,0.022574246661425,-0.0105859416723396
"HGF","MET","HGF","Lymphatic_Endo","Lymphatic_Endo",0,0.0105588944194137,-0.0105588944194137
"CCL2","CCR2","CCL","Fibroblast","Mast_cell",0.0105017531175917,0,0.0105017531175917
"PDGFA","PDGFRA","PDGF","Fibroblast","Endothelial",0.0104808682299429,0,0.0104808682299429
"FGF2","FGFR1","FGF","Smooth_Muscle","Fibroblast",0.0530450382194694,0.0425743561830732,0.0104706820363962
"IL6","IL6R","IL6","Macrophage","T_cell",0.0104136491073912,0,0.0104136491073912
"FGF2","FGFR1","FGF","Smooth_Muscle","Endothelial",0.0257569176992931,0.015486810965047,0.0102701067342461
"TNF","TNFRSF1A","TNF","Fibroblast","Myeloid",0.0102255397102847,0,0.0102255397102847
"PDGFA","PDGFRA","PDGF","Smooth_Muscle","Smooth_Muscle",0.0102054140103866,0,0.0102054140103866
"CCL2","CCR2","CCL","Mast_cell","Macrophage",0.0101774981472405,0,0.0101774981472405
"PDGFA","PDGFRA","PDGF","Smooth_Muscle","Lymphatic_Endo",0.0204345550620695,0.0102998691947665,0.010134685867303
"VEGFA","KDR","VEGF","Smooth_Muscle","Smooth_Muscle",0,0.0101009367368997,-0.0101009367368997
"FGF2","FGFR1","FGF","Fibroblast","Pericyte",0.0100491484344703,0,0.0100491484344703
"IL6","IL6R","IL6","Endothelial","Fibroblast",0.0100239973016535,0,0.0100239973016535
"PDGFA","PDGFRA","PDGF","Pericyte","Smooth_Muscle",0.0100183974077486,0,0.0100183974077486
"TNF","TNFRSF1A","TNF","Keratinocyte","Macrophage",0.0370665813356454,0.0271525634719433,0.00991401786370215
"TGFB1","TGFBR1","TGFb","Fibroblast","Mast_cell",0.0265683971422005,0.0167097099468286,0.0098586871953719
"TNF","TNFRSF1A","TNF","Pericyte","Melanocyte",0.0250206077752462,0.0151832390675538,0.00983736870769242
"TGFB1","TGFBR1","TGFb","Endothelial","Mast_cell",0.0293779739944444,0.0199462219298709,0.00943175206457354
"FGF2","FGFR1","FGF","Smooth_Muscle","Lymphatic_Endo",0.0285849551934903,0.0192340991036431,0.00935085608984722
"TGFB1","TGFBR1","TGFb","Mast_cell","Endothelial",0.0366986492868827,0.0275834613213063,0.00911518796557646
"TGFB1","TGFBR1","TGFb","Macrophage","Smooth_Muscle",0.0480372270192908,0.0570653544645589,-0.00902812744526804
"TGFB1","TGFBR1","TGFb","Pericyte","Endothelial",0.0296900775431086,0.020847652986361,0.00884242455674767
"FGF2","FGFR1","FGF","Pericyte","Lymphatic_Endo",0.0210275205195406,0.0123440370868388,0.00868348343270182
"CCL2","CCR2","CCL","Myeloid","Myeloid",0.0385529510159659,0.0471655257601565,-0.00861257474419061
"TGFB1","TGFBR1","TGFb","Lymphatic_Endo","Macrophage",0.114037344152579,0.122537644548165,-0.00850030039558596
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Endothelial",0.0271181939480379,0.0187819509710472,0.00833624297699073
"TGFB1","TGFBR1","TGFb","Mast_cell","Mast_cell",0.0268397686221519,0.0187198412246828,0.00811992739746915
"TGFB1","TGFBR1","TGFb","Endothelial","Lymphatic_Endo",0.0132632278779188,0.021331292656016,-0.00806806477809728
"IL6","IL6R","IL6","Smooth_Muscle","Pericyte",0.018528936044997,0.0105435545978992,0.00798538144709783
"TGFB1","TGFBR1","TGFb","Mast_cell","Lymphatic_Endo",0.012117308276382,0.020019751762606,-0.00790244348622403
"TNF","TNFRSF1A","TNF","Myeloid","Keratinocyte",0.226824702272075,0.219085563482993,0.00773913878908189
"TGFB1","TGFBR1","TGFb","Fibroblast","Myeloid",0.0394068290998414,0.031806976209945,0.00759985288989634
"CCL2","CCR2","CCL","Macrophage","Mast_cell",0.0149621547743809,0.0225596606227315,-0.00759750584835055
"TGFB1","TGFBR1","TGFb","Pericyte","Mast_cell",0.0217140092923151,0.0141485054854414,0.00756550380687375
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Mast_cell",0.0198330474052661,0.0127465924588731,0.00708645494639297
"TGFB1","TGFBR1","TGFb","T_cell","Endothelial",0.0683651063952185,0.0754438525860697,-0.00707874619085126
"TGFB1","TGFBR1","TGFb","Fibroblast","T_cell",0.0368256798589808,0.0301652201757462,0.00666045968323463
"CCL2","CCR2","CCL","Lymphatic_Endo","T_cell",0.0215351008629911,0.028054106675848,-0.00651900581285693
"TNF","TNFRSF1A","TNF","T_cell","Mast_cell",0.0228942783167,0.0290263269800023,-0.00613204866330227
"TGFB1","TGFBR1","TGFb","Fibroblast","Lymphatic_Endo",0.0119947926196234,0.0178700364573378,-0.00587524383771437
"TNF","TNFRSF1A","TNF","Myeloid","Lymphatic_Endo",0.227776179539167,0.221946523462642,0.00582965607652508
"FGF2","FGFR1","FGF","Endothelial","Fibroblast",0.105216448099264,0.0994340742481184,0.00578237385114551
"TNF","TNFRSF1A","TNF","Fibroblast","Macrophage",0.0162245067796056,0.0106082236605261,0.00561628311907955
"TGFB1","TGFBR1","TGFb","Endothelial","Myeloid",0.0435740550813962,0.0379676851615307,0.00560636991986552
"TGFB1","TGFBR1","TGFb","T_cell","Smooth_Muscle",0.070971014953265,0.065379491765119,0.00559152318814597
"TNF","TNFRSF1A","TNF","Myeloid","Endothelial",0.304782351634864,0.299363816769887,0.00541853486497745
"TGFB1","TGFBR1","TGFb","Pericyte","Myeloid",0.0322066946182271,0.0269317168768163,0.00527497774141074
"FGF2","FGFR1","FGF","Fibroblast","T_cell",0.0107257713145306,0.0159806531328202,-0.00525488181828959
"TNF","TNFRSF1A","TNF","Macrophage","T_cell",0.0385532457090851,0.0333273950248309,0.00522585068425419
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Myeloid",0.0294168107110597,0.0242631717957612,0.00515363891529857
"TGFB1","TGFBR1","TGFb","Myeloid","Endothelial",0.0535760349121215,0.0586330309154508,-0.0050569960033293
"IL6","IL6R","IL6","Smooth_Muscle","Smooth_Muscle",0.0294535265496381,0.0343087020253248,-0.00485517547568672
"TGFB1","TGFBR1","TGFb","Myeloid","Smooth_Muscle",0.0556182206885407,0.0508112673266172,0.00480695336192351
"TGFB1","TGFBR1","TGFb","Endothelial","T_cell",0.0407199523341388,0.0360079365891714,0.00471201574496735
"CCL2","CCR2","CCL","Smooth_Muscle","Mast_cell",0.0101668435801182,0.0147538049569668,-0.00458696137684867
"TGFB1","TGFBR1","TGFb","Pericyte","T_cell",0.0300971545394289,0.0255416033243051,0.00455555121512386
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","T_cell",0.0274900081651605,0.0230107984660374,0.00447920969912312
"IL6","IL6R","IL6","Endothelial","Smooth_Muscle",0.0206582519477882,0.0162268960357519,0.00443135591203633
"HGF","MET","HGF","Smooth_Muscle","Endothelial",0.0197558096387947,0.0153856743723063,0.00437013526648835
"TGFB1","TGFBR1","TGFb","Mast_cell","Myeloid",0.0398093332281778,0.0356332663093557,0.00417606691882208
"VEGFA","KDR","VEGF","T_cell","Endothelial",0.0185576744072836,0.0144311070443671,0.00412656736291655
"IL6","IL6R","IL6","Smooth_Muscle","Fibroblast",0.0142917257183206,0.0183680094218155,-0.00407628370349485
"IL6","IL6R","IL6","Endothelial","T_cell",0.0145005841453525,0.0182222243933216,-0.00372164024796907
"TNF","TNFRSF1A","TNF","Mast_cell","T_cell",0.0338299545002826,0.0302922271490945,0.00353772735118809
"TGFB1","TGFBR1","TGFb","Mast_cell","T_cell",0.0372018199471488,0.0337940116252431,0.00340780832190568
"IL6","IL6R","IL6","Fibroblast","T_cell",0.0230047266037075,0.0198185247382067,0.00318620186550081
"FGF2","FGFR1","FGF","Fibroblast","Endothelial",0.0394519072267644,0.0364158628315239,0.00303604439524057
"PDGFA","PDGFRA","PDGF","T_cell","Fibroblast",0.0249971581317599,0.0221996536573127,0.00279750447444716
"TGFB1","TGFBR1","TGFb","Myeloid","Melanocyte",0.112187627166193,0.109412732989342,0.00277489417685108
"TNF","TNFRSF1A","TNF","Macrophage","Mast_cell",0.0137042912375964,0.0110558715337862,0.00264841970381016
"VEGFA","KDR","VEGF","T_cell","Lymphatic_Endo",0.0211075577987181,0.0236939461444375,-0.00258638834571947
"TNF","TNFRSF1A","TNF","Pericyte","Fibroblast",0.0442117614612354,0.046676052731365,-0.00246429127012964
"TGFB1","TGFBR1","TGFb","T_cell","Melanocyte",0.143155780005448,0.140782728946589,0.00237305105885874
"TNF","TNFRSF1A","TNF","Pericyte","Pericyte",0.0484711129030839,0.0462000185444934,0.00227109435859051
"IL6","IL6R","IL6","Endothelial","Macrophage",0.040040957002961,0.0378146950442523,0.0022262619587087
"TNF","TNFRSF1A","TNF","Myeloid","Fibroblast",0.38145080434115,0.379442751330043,0.00200805301110735
"FGF2","FGFR1","FGF","Endothelial","T_cell",0.0138897135817003,0.0158727824294146,-0.00198306884771428
"TNF","TNFRSF1A","TNF","Mast_cell","Mast_cell",0.0120253312140009,0.010048999376733,0.0019763318372679
"FGF2","FGFR1","FGF","Smooth_Muscle","Smooth_Muscle",0.0177165676231581,0.0196925513684535,-0.00197598374529533
"IL6","IL6R","IL6","Pericyte","Macrophage",0.0174182221332036,0.0155131277262113,0.00190509440699228
"TNF","TNFRSF1A","TNF","Pericyte","Myeloid",0.0219694891723234,0.0200761825841606,0.00189330658816276
"TNF","TNFRSF1A","TNF","Myeloid","Mast_cell",0.0217868300212793,0.020081775074602,0.00170505494667728
"TNF","TNFRSF1A","TNF","Pericyte","Endothelial",0.0353255635450795,0.0368253741794634,-0.00149981063438397
"FGF2","FGFR1","FGF","Fibroblast","Lymphatic_Endo",0.0437836162517905,0.0452272786325752,-0.00144366238078475
"CXCL8","CXCR1","CXCL","Myeloid","T_cell",0.0149283201928201,0.0162395657512831,-0.00131124555846299
"TGFB1","TGFBR1","TGFb","T_cell","Mast_cell",0.0499992144978566,0.0512008600131232,-0.00120164551526652
"TGFB1","TGFBR1","TGFb","Keratinocyte","Macrophage",0.0306744683126072,0.0295269317743392,0.00114753653826793
"TGFB1","TGFBR1","TGFb","Myeloid","Pericyte",0.0603820617516704,0.0592834017661801,0.00109865998549022
"TGFB1","TGFBR1","TGFb","Macrophage","Fibroblast",0.147475480652177,0.146420828698895,0.0010546519532813
"TNF","TNFRSF1A","TNF","Pericyte","Lymphatic_Endo",0.0264002225234023,0.0273021097289972,-0.00090188720559483
"TGFB1","TGFBR1","TGFb","T_cell","Pericyte",0.0770498616179159,0.0762806928759646,0.000769168741951348
"TNF","TNFRSF1A","TNF","Myeloid","T_cell",0.0612912405661756,0.0605355487955696,0.000755691770606033
"TNF","TNFRSF1A","TNF","Pericyte","Keratinocyte",0.0262899422841429,0.0269501770108089,-0.000660234726666042
"TGFB1","TGFBR1","TGFb","Myeloid","Mast_cell",0.039183141850609,0.0397919976928834,-0.000608855842274401
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Macrophage",0.0117454599381701,0.0111511602093766,0.000594299728793563
"FGF2","FGFR1","FGF","Pericyte","Smooth_Muscle",0.0130325720894124,0.0126382620322792,0.000394310057133227
"HGF","MET","HGF","Fibroblast","Endothelial",0.023023947152849,0.0233720966235511,-0.000348149470702074
"IL6","IL6R","IL6","Smooth_Muscle","Mast_cell",0.0139908689108895,0.0136995571720311,0.000291311738858331
"TGFB1","TGFBR1","TGFb","Lymphatic_Endo","Lymphatic_Endo",0.0283774511166553,0.0281947302495383,0.000182720867116952
"IL6","IL6R","IL6","Mast_cell","Myeloid",0.0224777439510952,0.022443826529953,3.39174211421781e-05
