"ligand","receptor","pathway","sender","receiver","score_healing","score_nonhealing","delta"
"TGFB1","TGFBR1","TGFb","Melanocyte","Pericyte",0.0456574739123905,0,0.0456574739123905
"TNF","TNFRSF1A","TNF","Macrophage","Macrophage",0.1891770608679,0.234356908991056,-0.0451798481231564
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Fibroblast",0.0864269476647491,0.0417627151656748,0.0446642324990743
"CCL2","CCR2","CCL","Keratinocyte","Myeloid",0.0384040922557361,0.0829295166718316,-0.0445254244160955
"TGFB1","TGFBR1","TGFb","Melanocyte","Myeloid",0.0439449863673987,0,0.0439449863673987
"TGFB1","TGFBR1","TGFb","Keratinocyte","Keratinocyte",0.0433003637616587,0,0.0433003637616587
"TGFB1","TGFBR1","TGFb","Lymphatic_Endo","Myeloid",0.0932292372119596,0.0501839554963326,0.043045281715627
"TNF","TNFRSF1A","TNF","Mast_cell","Pericyte",0.230827054651187,0.187938176882311,0.0428888777688758
"TNF","TNFRSF1A","TNF","Myeloid","Pericyte",0.418199691509767,0.375572935631759,0.0426267558780077
"TGFB1","TGFBR1","TGFb","Melanocyte","Smooth_Muscle",0.0420553287925842,0,0.0420553287925842
"IL6","IL6R","IL6","Macrophage","Myeloid",0.0417770772964268,0,0.0417770772964268
"IL1B","IL1R1","IL1","Myeloid","Mast_cell",0.0667416173991162,0.0252008468739281,0.0415407705251881
"TGFB1","TGFBR1","TGFb","Melanocyte","T_cell",0.0410665876026959,0,0.0410665876026959
"IL6","IL6R","IL6","Myeloid","Macrophage",0.0568720942011715,0.0159237029383526,0.0409483912628189
"IL1B","IL1R1","IL1","Pericyte","Fibroblast",0.0406762989366391,0,0.0406762989366391
"TGFB1","TGFBR1","TGFb","Melanocyte","Endothelial",0.0405111442929794,0,0.0405111442929794
"TGFB1","TGFBR1","TGFb","Pericyte","Keratinocyte",0.0556103489038056,0.0151395657488526,0.040470783154953
"TGFB1","TGFBR1","TGFb","Myeloid","Fibroblast",0.170749319600973,0.130373813306022,0.0403755062949503
"TGFB1","TGFBR1","TGFb","Melanocyte","Macrophage",0.0537531967870329,0.0137093183290765,0.0400438784579564
"PDGFA","PDGFRA","PDGF","Lymphatic_Endo","Fibroblast",0.201090863259028,0.161526737208435,0.0395641260505926
"TGFB1","TGFBR1","TGFb","Lymphatic_Endo","T_cell",0.0871227175971494,0.0475936491681785,0.0395290684289709
"TGFB1","TGFBR1","TGFb","Endothelial","Macrophage",0.0532994762591832,0.0927083300354886,-0.0394088537763053
"TGFB1","TGFBR1","TGFb","Macrophage","Keratinocyte",0.0866713767887607,0.0478201667002242,0.0388512100885365
"TGFB1","TGFBR1","TGFb","Mast_cell","Macrophage",0.0486944950917611,0.0870082176249542,-0.038313722533193
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Keratinocyte",0.0507931387145027,0.0136394529304533,0.0371536857840494
"IL6","IL6R","IL6","Melanocyte","Macrophage",0.0367582607147796,0,0.0367582607147796
"TNF","TNFRSF1A","TNF","T_cell","Myeloid",0.199183605182768,0.235897457694251,-0.0367138525114827
"TGFB1","TGFBR1","TGFb","Lymphatic_Endo","Mast_cell",0.0628558921408303,0.0263640069019224,0.0364918852389078
"VEGFA","KDR","VEGF","Fibroblast","Lymphatic_Endo",0.206764486563128,0.17058888309074,0.0361756034723873
"VEGFA","KDR","VEGF","Smooth_Muscle","Endothelial",0.0907897607468938,0.126221784200775,-0.035432023453881
"TGFB1","TGFBR1","TGFb","Macrophage","Myeloid",0.0501956671626976,0.0850671156582022,-0.0348714484955046
"TGFB1","TGFBR1","TGFb","Macrophage","T_cell",0.0469078484990029,0.0806762722934665,-0.0337684237944636
