"celltype","DM","Healing","Healthy","NonHealing"
"Endothelial",1639,2267,3311,1614
"Fibroblast",4647,9964,12224,4184
"Keratinocyte",1379,2335,6821,2762
"Lymphatic_Endo",184,174,394,140
"Macrophage",311,1001,536,1181
"Mast_cell",123,826,1094,635
"Melanocyte",97,14,562,264
"Myeloid",252,1506,729,801
"Pericyte",1001,3363,2821,1396
"Smooth_Muscle",765,1811,3280,1778
"T_cell",647,2000,1523,1781
