TF,diff_AS_vs_Control,pvalue,padj
ESR2,-1.2991557452485107,9.165768610473566e-26,8.495102614585256e-25
EPAS1,-1.3781639156534697,2.4305261417325256e-25,2.2255420092972523e-24
HIF3A,1.3565737392172568,3.0154175363938977e-25,2.7282349138801933e-24
SMAD2,-1.2018211358274642,3.7497259939320933e-25,3.3526961828098716e-24
AIRE,-1.2872007948267252,4.513475565318556e-25,3.9886528251652356e-24
BACH1,-1.3574129171547074,7.882670270302874e-25,6.886010810839292e-24
PITX3,-0.9156918973900026,9.93795580081704e-25,8.582780009796535e-24
ZNF699,-0.8159912229315576,1.1405763827007615e-24,9.739753380366053e-24
ATF1,-1.9545062038117331,1.676655469900322e-24,1.4158423968047165e-23
ATF3,-1.6760971557639421,2.3172652706501603e-24,1.9352984677957382e-23
DDIT3,-1.6986571549930507,6.912436495477796e-24,5.71027362669905e-23
TCF4,-1.1029926373872447,1.2133598901334007e-23,9.915629209692306e-23
FOXO1,-0.9921318401525288,2.3057649620659657e-23,1.8642355012448234e-22
PAX2,0.652398011240984,3.3498656256344424e-23,2.679892500507554e-22
MYC,-2.5925211909152264,3.5258809900870243e-23,2.7913224504855607e-22
ELF4,-1.0489416362874304,4.088125746600856e-23,3.2030675952748973e-22
CTBP1,1.1497569965961916,6.10790044848697e-23,4.736739123316425e-22
MAFK,-0.9561600102973179,1.0332770844074429e-22,7.932228122723805e-22
KLF13,0.5903599237461529,1.0619125091775446e-22,8.07053506974934e-22
KLF8,-1.0533110680598248,1.17435447878114e-22,8.836726771026402e-22
ZNF300,-1.1686609972373918,1.501034852532007e-22,1.1184181254160054e-21
ING4,1.0724297911659726,1.57869967969857e-22,1.1648657830785563e-21
GTF3A,-0.9821683024962853,2.4851020521065915e-22,1.8160361150009705e-21
RXRA,-0.7539908215925413,6.12610023359205e-22,4.434129692885673e-21
BHLHA15,-0.7969861097697349,7.579017671920543e-22,5.434012670433597e-21
HOXA1,-1.22613549700718,1.5568830491914928e-21,1.1058234741920883e-20
AR,-1.4747281803587127,1.8796507787420666e-21,1.3227172146703432e-20
ATOH1,0.6732531726134943,3.371577333331159e-21,2.3508245626896154e-20
ETV7,-0.7194786424566495,3.406370384179352e-21,2.3534922654330067e-20
KDM5B,-0.7808449474962049,5.984088572074017e-21,4.097213797095723e-20
ENO1,-1.1292448879662131,6.492792589974838e-21,4.4058235431972117e-20
JDP2,1.1030362597064813,8.091683583012229e-21,5.442194268220615e-20
PGR,-1.0308003768341565,8.765133507409052e-21,5.843422338272702e-20
SNAI2,1.046785173348249,9.063697583381588e-21,5.989921881191311e-20
BMAL1,-1.566549057130138,1.0767147695949764e-20,7.054338145622259e-20
PRDM1,-0.8487982692075546,1.2289354971326083e-20,7.982828870263096e-20
FOXO4,-0.8926603022024798,2.339020075007042e-20,1.5064875059367388e-19
STAT3,-1.4281574137104394,2.886298783554069e-20,1.8433504836143635e-19
WWTR1,-0.7436651057716102,3.227827912653486e-20,2.0442910113472078e-19
RXRB,-0.9262754467143814,3.4155871204105263e-20,2.1453274475305786e-19
MEF2D,-1.3948675743562515,3.7453706525779767e-20,2.3331817179993953e-19
IRF5,-0.7413432048913171,3.89496313622956e-20,2.4066438890524107e-19
MBD1,-0.7436615822709162,4.215500079050001e-20,2.5836935968370973e-19
NCOA1,-0.9075973198408046,4.38836860335041e-20,2.668128110837049e-19
FLI1,-0.859103915067309,5.533550902995962e-20,3.337697370061057e-19
ZNF91,-0.9175218867429991,6.208146935753066e-20,3.7151115521041975e-19
MEIS2,-0.8828853197809723,6.980750520592735e-20,4.144820621601936e-19
IRF8,0.9259939529848735,1.7734448073042461e-19,1.0448201965513389e-18
ARNT,-0.932124379369363,1.9464289168413753e-19,1.137912289845727e-18
RUNX3,0.7722122319654793,1.9650868777464863e-19,1.1400504023567401e-18
GATA3,-0.8758250286607587,2.556200609102564e-19,1.4717518658469306e-18
PML,0.9697414738208952,3.3832997634952814e-19,1.9333141505687324e-18
NR1I2,-0.8803565913611008,3.6429656110404264e-19,2.0661596002915854e-18
ZNF350,0.9857237742427418,3.8812839500099706e-19,2.1850191125982056e-18
TP73,-0.871683442946922,7.857623947430063e-19,4.391025147093271e-18
CIITA,-1.2768292553217369,9.364564257487674e-19,5.194940755978563e-18
TFEB,-0.48089655693389893,1.3193221929303047e-18,7.265832366862548e-18
MAX,-0.9270620100373179,2.1639834301207155e-18,1.1831851848142041e-17
SPDEF,-0.8331941655577764,3.940511035538759e-18,2.1391345621496122e-17
CEBPB,-1.1622630906390572,3.985036243339244e-18,2.1479627978282452e-17
APEX1,-0.7602048561962147,4.393066129778588e-18,2.351218491994174e-17
MTF1,-0.8594520629175031,5.555608581357552e-18,2.9526311341480693e-17
TBX3,0.5764005176469291,5.818655628848837e-18,3.070957137447997e-17
HOXA11,0.629002444034777,9.054099418321887e-18,4.728598089147306e-17
ZNF382,1.4636575461152765,9.083885802835614e-18,4.728598089147306e-17
CLOCK,-1.0977306176854886,1.1336200031308914e-17,5.860892533193725e-17
HNF1B,-0.7645407927770684,1.3676720556884876e-17,7.023180826508451e-17
WT1,-0.754729382880976,1.3929892919690752e-17,7.105180281184545e-17
HHEX,0.6576206912865502,1.436336476874362e-17,7.277438149496766e-17
ELK1,-1.1501802000890389,1.5517813351640404e-17,7.81029016373954e-17
PAX5,-0.617118261669911,2.2446111052497404e-17,1.12230555262487e-16
PAX3,-0.8627498044160259,2.3695145987261636e-17,1.1770137876025388e-16
MAF,-0.6364923842400252,2.5933118920448845e-17,1.2798162584117613e-16
YBX1,-0.7256773205299388,3.4084591313929e-17,1.6712444773281317e-16
MTA3,-0.8247501728637405,3.7250446050029894e-17,1.8147653203860716e-16
SALL3,-0.6185024280310703,5.593354494797713e-17,2.7076110930230966e-16
PPARGC1A,-0.7447325923125604,8.271636082933274e-17,3.978761660145119e-16
IRF1,-0.7534791200374691,1.2819810697439516e-16,6.127708257895618e-16
ETS1,-1.231049691618306,2.982095043031836e-16,1.4164951454401222e-15
CEBPG,-0.890686495651551,3.472678639293161e-16,1.6392768732067096e-15
ATF2,-1.2874178488606702,4.1996972181261673e-16,1.9702283245530168e-15
TCF7L2,-0.8192496921494835,4.368014258000037e-16,2.036620144834373e-15
E2F4,-0.7956117652149808,4.648577695359761e-16,2.1542189319959864e-15
HSF4,-1.3105178288450046,4.806930580093382e-16,2.2141013581036182e-15
ESRRA,-0.6177791015363676,8.081346516588307e-16,3.6998935859079e-15
FOXL2,-0.7143069516541931,9.11831831304165e-16,4.131801629393852e-15
E2F3,-0.7177807180714737,9.133456233396937e-16,4.131801629393852e-15
TFE3,-0.8016596433766612,9.538108681632498e-16,4.289326981089171e-15
MYOCD,0.6284081086655698,9.864224573630984e-16,4.409888632917381e-15
SRSF2,1.1438855326675146,1.1223693020797427e-15,4.9883080092433005e-15
TFDP3,-0.608833404538317,1.313987623497193e-15,5.805991824755039e-15
DNMT1,-0.6555521260598287,1.5424571929118252e-15,6.776112523774492e-15
CTNNB1,-0.8255760902217486,1.777136856232549e-15,7.762206958257111e-15
KLF11,-1.2988702028261756,1.808680731515092e-15,7.8548420340084e-15
E2F1,-0.73730107313695,2.2890611127797742e-15,9.884582077912661e-15
ESRRB,-0.7166590014968754,3.5296293767311354e-15,1.5155470770144988e-14
FOXJ1,1.5898086602719883,5.133386405403583e-15,2.1917829596105185e-14
FOXI1,-0.8712803999862898,5.1869825050998785e-15,2.2022942479753674e-14
FOXM1,-0.6087075130911779,5.617895023750487e-15,2.3720001211390948e-14
PA2G4,-0.655397437132625,9.10337920327286e-15,3.8224133671200964e-14
SOX9,0.6310226166304673,1.3751019634450842e-14,5.742184023177275e-14
DMTF1,-1.1255480645640241,1.4959823968698725e-14,6.212823068967776e-14
SSRP1,-0.858916162816301,1.5915513473952684e-14,6.573799043589152e-14
RUNX2,-0.7752251749428172,3.286349633996556e-14,1.3500679577499364e-13
TEAD1,-0.6013813376107893,3.4608388506493285e-14,1.4141061970395104e-13
NR1I3,-0.5524335279884713,3.64687736421949e-14,1.4821533672763705e-13
SALL1,-0.5673668920185089,4.810494956770977e-14,1.9446681740137992e-13
TLX1,-0.5340457018485,5.6268570943044654e-14,2.2626515299848643e-13
ZBTB17,-0.6978631457987833,6.279961062265282e-14,2.511984424906113e-13
KAT7,-0.8257179929020002,7.951651183516286e-14,3.164007800770878e-13
HOXC13,-0.6238170477173391,8.439749695416179e-14,3.340734254435571e-13
BRCA1,-0.8916756825457512,9.138621072247429e-14,3.598627986998987e-13
SPI1,-0.753025170280289,1.0636273657789978e-13,4.166787618515661e-13
TEF,-0.7744946653378815,1.3554290196309958e-13,5.282697717536188e-13
GCM1,-0.5386555826943058,1.515229758409645e-13,5.875380695874133e-13
STAT1,-1.0482974861174772,1.5513730459323528e-13,5.984992461464915e-13
HOXA5,0.6463598732820912,1.8939938701941612e-13,7.269875461351327e-13
LMO2,0.4488585167657242,1.9923900596014158e-13,7.609127865814452e-13
HIVEP2,-1.3043934999152553,2.091713032490333e-13,7.948509523463265e-13
ZBTB4,-1.2423682834932706,4.5308645067606885e-13,1.707969780789581e-12
FOXA3,0.3112329275958155,4.5396038910459916e-13,1.707969780789581e-12
NR3C2,-0.5959136101748748,4.708832315477488e-13,1.7629125910162025e-12
NFX1,-0.8131847963419753,5.252310277070823e-13,1.956743044398934e-12
NFATC2,-0.5762720746986894,6.403875630088839e-13,2.374119745789033e-12
AIP,-0.7208455767678817,8.059472435810623e-13,2.9733975976777054e-12
FOXD3,-0.5516396304430451,8.379755501501276e-13,3.0766252082806616e-12
HTATIP2,0.684610443643584,8.714365621016334e-13,3.184095130755968e-12
HES6,-0.24491401011287475,8.974370066514009e-13,3.2634072969141847e-12
NR0B1,0.4404213712976267,9.513406202909955e-13,3.442947006767412e-12
PITX2,-0.5798540182291662,9.698002017547492e-13,3.4931192101118935e-12
CDX2,-0.48472303618982937,1.0589856135139463e-12,3.796363520144336e-12
NR4A2,-0.6352221922140928,1.1618160817403193e-12,4.14544705221898e-12
KLF3,0.3696672335186194,1.2302197689589738e-12,4.369004786957103e-12
TCF21,0.711008355100508,1.3001115489623947e-12,4.595743149820558e-12
LMX1A,-0.8534196340992118,1.5726838989400247e-12,5.533517422196383e-12
MEF2A,-0.6155882272699242,1.8630348038939405e-12,6.524914520550207e-12
TFAP2B,-0.8675994179255389,3.0742968313705688e-12,1.0717732072668037e-11
SKIL,0.7581447794206684,3.139098819993763e-12,1.0893676270297991e-11
USF1,-0.6895813247063325,3.3121408614290747e-12,1.1441941157664076e-11
ELF3,-0.681878340398576,3.8495395704000526e-12,1.3238235626715112e-11
SPIB,0.5394652860065473,6.830475538286923e-12,2.3383609950892165e-11
TET1,0.4323683111540936,6.92415990574454e-12,2.3492685394490406e-11
GLIS3,-0.5369865771397353,6.9199382842378104e-12,2.3492685394490406e-11
TBPL1,-0.7493048590808689,7.2731480097434566e-12,2.456707772180012e-11
GATA1,-0.5056330550797637,8.103691201604173e-12,2.7251350943447662e-11
NFIX,0.522655987779155,8.30144216293914e-12,2.7793374642439414e-11
SMAD7,-0.5886391195209064,1.0936900184037177e-11,3.645633394679059e-11
HOXB1,-0.4726525546213345,1.3852196082528904e-11,4.597235381101296e-11
XBP1,-1.2862078071962064,1.8464240334333658e-11,6.101227240910253e-11
