"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
2.51269830027397,1.22260310447484,19.6251884395443,3.0555815649986e-15,5.32221196991457e-11,24.7809097926214,"SPATA20P1"
3.46223625721223,2.66811560516283,17.8469229467851,2.11529370914002e-14,1.53190145259746e-10,22.9689829997395,"MYBL2"
-2.75614528872936,2.8384216983167,-17.6531643513917,2.63847993902422e-14,1.53190145259746e-10,22.7600133461071,"AMY2B"
-2.57980498313339,5.50806701632102,-17.1881242606715,4.52417946128234e-14,1.97005394641539e-10,22.2485588037169,"GSTM2"
-3.68841457855197,2.32099213081194,-16.9589099331726,5.92932797628101e-14,2.06554069381725e-10,21.9911888623259,"ABCA10"
-3.69241100162099,2.47041633265441,-16.7485488170524,7.6212601738972e-14,2.21245182848236e-10,21.7518397364099,"VIPR1"
2.45010985350288,2.52105658985063,16.6127666627138,8.97484416067148e-14,2.23319765129394e-10,21.595719466513,"AURKA"
-1.99924535848959,1.22225638592563,-16.1014103693208,1.67868979400705e-13,3.26203733551189e-10,20.9960208504216,"COLCA2"
-4.8712235460239,3.35712286003764,-16.0981403047233,1.68551705245189e-13,3.26203733551189e-10,20.9921249435956,"PPL"
-2.72256977944549,1.9325488860801,-16.0060198806227,1.89023494234503e-13,3.29241122257658e-10,20.882050260832,"HLF"
-5.08367212577704,4.8728007048366,-15.8121407809145,2.41041311184119e-13,3.80137244554286e-10,20.6483234800393,"TNXB"
2.71317814623394,2.24047635495548,15.7464299332922,2.61892693457999e-13,3.80137244554286e-10,20.5684665766649,"CEP55"
3.35056158067094,2.68643967870797,15.6392757482397,3.00022909653318e-13,4.0198454156473e-10,20.4375412293355,"UHRF1"
-3.52995051758442,2.1038063081507,-15.48348857447,3.66091667909062e-13,4.55470333688575e-10,20.2456234162688,"GFRA1"
2.44571458467054,2.4564147521347,15.3730681893145,4.21987228197574e-13,4.65882700766386e-10,20.1084541573751,"TRIP13"
