Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Response To Copper Ion (GO:0071280),1.5481649781274967e-08,1.6596328565526764e-06,0,0,117.33663366336634,2110.136305384475,MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Response To Copper Ion (GO:0046688),1.5481649781274967e-08,1.6596328565526764e-06,0,0,117.33663366336634,2110.136305384475,MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,rRNA Processing (GO:0006364),1.263249334991145e-07,1.2695655816661007e-05,0,0,8.573979591836734,136.19259355456427,RPS7;RPL11;RPL35A;DDX52;RPS15;RPS14;RPS25;RPS28;RPS16;RPS27;RPS19;SBDS;RPS24
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),4.047433576460433e-07,3.8283959946755155e-05,0,0,9.847953216374268,144.96199597607242,MT2A;CDH1;MT1M;MT1F;AKR1C3;MT1G;MT1X;MT1H;CDKN2AIP;MT1E;LGMN
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),5.489657879719647e-07,4.9040943725495514e-05,0,0,29.308168316831683,422.48397879453836,RPS15;RPS14;RPS28;RPS27;RPS19;RPS5;RPSA
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),8.618893961623989e-07,7.294306047521777e-05,0,0,8.904761904761905,124.34733197801577,RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;RPS7;RPL11;SBDS;RPL35A;RPS24
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),1.2275906704116901e-06,9.86982899010999e-05,0,0,8.497474747474747,115.65451562856653,RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;RPS7;RPL11;SBDS;RPL35A;RPS24
GO_Biological_Process_2023,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",3.6221541925306976e-06,0.0002773535210280648,0,0,82.99019607843137,1039.7378272904116,RPS14;RPS16;RPS19;RPS8;RPS21
GO_Biological_Process_2023,Maturation Of SSU-rRNA (GO:0030490),1.2979000489482306e-05,0.0009486469448676158,0,0,19.992118226600986,224.9548699548179,RPS14;RPS28;RPS16;RPS19;RPS8;DDX52
GO_Biological_Process_2023,Cellular Response To Reactive Oxygen Species (GO:0034614),1.7957597736751474e-05,0.0012554703113346248,0,0,9.589196872778963,104.7859225561721,OSER1;EDN1;RPS3;TNFAIP3;ROMO1;PTPRK;PAX2;MAP3K5
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),2.4705327629320363e-05,0.0016552569511644644,0,0,16.655172413793103,176.6862573826705,EDN1;CXCL8;CCL20;CXCL1;CXCL2;PPIA
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),4.3669098305458336e-05,0.0028087964030070797,0,0,14.271639690358903,143.27113323486952,EDN1;CXCL8;CCL20;CXCL1;CXCL2;PPIA
GO_Biological_Process_2023,Positive Regulation Of Cellular Metabolic Process (GO:0031325),5.607108099958421e-05,0.0034677807018204387,0,0,9.746287128712872,95.40533620337897,ARG2;CXCL8;GADD45A;ZC3H12A;AKR1C3;ROMO1;THBS1
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),6.606222218725539e-05,0.0037730643052912346,0,0,4.253826530612245,40.9427123996352,SPAG9;EDN1;XBP1;GRN;CXCR4;SOD2;THBS1;VEGFA;TJP1;CLDN4;PODXL;PHPT1;EPHA2
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Migration (GO:0010595),7.162777170057136e-05,0.0037730643052912346,0,0,7.449419568822554,71.09746661161746,EDN1;GRN;ZC3H12A;MET;THBS1;VEGFA;FGFR1;LGMN
GO_Biological_Process_2023,Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),7.273942379603748e-05,0.0037730643052912346,0,0,12.483990147783251,118.95528608745143,GADD45A;ZC3H12A;AKR1C3;ROMO1;THBS1;PAX2
GO_Biological_Process_2023,Cellular Response To Hydrogen Peroxide (GO:0070301),7.273942379603748e-05,0.0037730643052912346,0,0,12.483990147783251,118.95528608745143,OSER1;EDN1;RPS3;TNFAIP3;PAX2;MAP3K5
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),7.273942379603748e-05,0.0037730643052912346,0,0,12.483990147783251,118.95528608745143,EDN1;CXCL8;CCL20;CXCL1;CXCL2;PPIA
GO_Biological_Process_2023,Positive Regulation Of MAP Kinase Activity (GO:0043406),8.204698793345682e-05,0.004122861143656205,0,0,8.993907083015994,84.61664256713861,ERN1;EDN1;RPS3;THBS1;MAP3K5;VEGFA;FGFR1
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),0.00011058808227953802,0.005388655645621125,0,0,3.559922680412371,32.42982134011959,XBP1;CXCL8;AKR1C3;TNFAIP3;CXCL1;PTPRK;CXCL2;CDKN2AIP;ACTB;PAX2;CDH1;ZC3H12A;RPS3;ROMO1;LGMN
GO_Biological_Process_2023,Cellular Response To Cadmium Ion (GO:0071276),0.00012538365303647907,0.005600469835629398,0,0,16.57843137254902,148.94282072479194,MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),0.00012538365303647907,0.005600469835629398,0,0,16.57843137254902,148.94282072479194,CXCL8;CCL20;ZC3H12A;CXCL1;CXCL2
GO_Biological_Process_2023,Response To Cadmium Ion (GO:0046686),0.00012538365303647907,0.005600469835629398,0,0,16.57843137254902,148.94282072479194,MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2023,Cellular Response To Lipid (GO:0071396),0.00014353636621167932,0.006238012888334604,0,0,4.533875338753387,40.119909827884875,XBP1;CXCL8;ZC3H12A;SPP1;MGST1;AKR1C3;MSN;TNFAIP3;CXCL1;CXCL2;PAX2
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Chemotaxis (GO:2001028),0.0001517098221637246,0.006419720895770242,0,0,33.02439024390244,290.4013271797195,MET;VEGFA;FGFR1;LGMN
GO_Biological_Process_2023,Innate Immune Response In Mucosa (GO:0002227),0.00019367259859838826,0.007985270219133547,0,0,inf,inf,DEFB1;FAU;RPL39
GO_Biological_Process_2023,Calcium-Mediated Signaling (GO:0019722),0.0002585750382985936,0.010141186867905817,0,0,9.071204657411554,74.9310951881367,RCAN1;EDN1;CXCL8;CCL20;CXCR4;DEFB1
GO_Biological_Process_2023,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),0.0002585750382985936,0.010141186867905817,0,0,9.071204657411554,74.9310951881367,JUP;GADD45A;THBS1;EPHA2;VEGFA;FGFR1
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),0.0003303026622534337,0.012645873354845748,0,0,4.428722560169267,35.498430842680726,EDN1;GDF15;DDT;CCL20;LIF;ZNF622;PPIA;THBS1;FGFR1;VEGFA
GO_Biological_Process_2023,Response To Hydrogen Peroxide (GO:0042542),0.000369246017421484,0.013550840692592632,0,0,8.312807881773399,65.70482770916945,OSER1;EDN1;RPS3;TNFAIP3;PAX2;MAP3K5
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),0.0003707941483047735,0.013550840692592632,0,0,2.3955265610438023,18.92433285644815,EDN1;RPS9;XBP1;CXCL8;JUND;JUP;LIF;AKR1C3;HMGA1;CXCL1;PTPRK;SOD2;THBS1;ACTB;VEGFA;TJP1;RPS15A;FTH1;CLCF1;ROMO1;SGK1;IL6ST;LGMN;FGFR1
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),0.000446838886167328,0.01596704286571252,0,0,5.352437810945274,41.28502526899078,TJP1;XBP1;GRN;CXCL8;JUP;ZC3H12A;THBS1;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),0.0005634400056094051,0.019695902804780945,0,0,2.7675595238095236,20.705357362415832,EDN1;RPS9;XBP1;GRN;LIF;AKR1C3;THBS1;ACTB;PAX2;VEGFA;TJP1;RPS15A;CLCF1;ROMO1;IL6ST;LGMN;FGFR1
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),0.0006450883208738682,0.021610458749274586,0,0,16.502439024390245,121.22895213671251,CXCL8;CCL20;CXCL1;CXCL2
GO_Biological_Process_2023,Positive Regulation Of JUN Kinase Activity (GO:0043507),0.0006450883208738682,0.021610458749274586,0,0,16.502439024390245,121.22895213671251,ERN1;EDN1;RPS3;MAP3K5
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),0.0006624808803907149,0.021740188891189175,0,0,5.833910891089109,42.70142079668268,XBP1;GRN;CXCL8;JUP;ZC3H12A;THBS1;VEGFA
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),0.0007413854790166056,0.023842957005174033,0,0,49.310679611650485,355.3815676222469,DEFB1;FAU;RPL39
GO_Biological_Process_2023,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),0.0008217702026172974,0.025411663188627195,0,0,9.199346405228757,65.35261463005722,LIF;IL6ST;MET;EPHA2;FGFR1
GO_Biological_Process_2023,Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),0.0008217702026172974,0.025411663188627195,0,0,9.199346405228757,65.35261463005722,GADD45A;ZC3H12A;AKR1C3;ROMO1;THBS1
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),0.000904154993390199,0.027431721308895093,0,0,2.4854961832061067,17.41962425695939,EDN1;RPS9;XBP1;GRN;SLC30A2;LIF;AKR1C3;THBS1;CDKN2AIP;ACTB;VEGFA;TJP1;RPS15A;CLCF1;ROMO1;PHPT1;IL6ST;LGMN;FGFR1
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),0.0009528310832983421,0.028373192258217297,0,0,3.4947589098532497,24.30979780548457,NFKBIA;MT2A;XBP1;CXCL8;CCL20;CLCF1;ZC3H12A;RPS3;CXCR4;MT1X;IL6ST
GO_Biological_Process_2023,Negative Regulation Of Growth (GO:0045926),0.0010157033287677975,0.029695471866520336,0,0,4.608680734259736,31.763829400587305,MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;CDKN2AIP;MT1E
GO_Biological_Process_2023,Branching Morphogenesis Of An Epithelial Tube (GO:0048754),0.0011085290345170117,0.030212113347514485,0,0,13.198048780487804,89.80904413850806,MET;PAX2;VEGFA;EPHA2
GO_Biological_Process_2023,Defense Response To Gram-negative Bacterium (GO:0050829),0.0011085290345170117,0.030212113347514485,0,0,13.198048780487804,89.80904413850806,RPL30;RPS19;DEFB1;ROMO1
GO_Biological_Process_2023,Skin Epidermis Development (GO:0098773),0.0011085290345170117,0.030212113347514485,0,0,13.198048780487804,89.80904413850806,CLDN4;SFN;MET;FGFR1
GO_Biological_Process_2023,Establishment Of Skin Barrier (GO:0061436),0.0011085290345170117,0.030212113347514485,0,0,13.198048780487804,89.80904413850806,CLDN4;SFN;MET;FGFR1
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),0.0012304310859426854,0.03297555310326397,0,0,3.162753807106599,21.191686178524137,SPAG9;TJP1;EDN1;CLDN4;XBP1;GRN;PODXL;CXCR4;SOD2;THBS1;EPHA2;VEGFA
