source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Pericyte,CD133+_progenitor,MDK,NCL,1.765495,0.0,2.8405516,0.6731295765910975,0.8104777001112182,0.011567593,0.9209145,0.12158607200009315,0.0009591856043137121
SOX9+LGR5+_stem,CD133+_progenitor,MDK,NCL,1.7653631,0.0,2.8402245,0.6729933329577318,0.8777898300348006,0.011566262,0.92091024,0.12164764625827613,0.0009689636816715456
Basalis_fibroblast,Erythrocytes,COL1A2,CD44,1.757452,0.0,2.6844513,0.7363713443320985,0.9944762191949066,0.01526473,0.9188315,0.07556792805553825,0.001008568823796276
Pericyte,CD133+_progenitor,MDK,TSPAN1,1.7563181,0.0,2.7984986,1.5497109163184697,1.8292631365037686,0.061745524,0.92036957,0.0007571055712827272,0.0010152463362486982
SOX9+LGR5+_stem,CD133+_progenitor,MDK,TSPAN1,1.7561862,0.0,2.7981765,1.5495746726851038,1.896575266427351,0.061738417,0.9203654,0.0005476277884631666,0.0010185932062925856
Basalis_fibroblast,Basalis_fibroblast,CD99,CD81,1.7506334,0.0,3.0332222,0.6503164428496444,0.811042239497898,0.010943257,0.92327154,0.1458032529968114,0.0010489614181409725
Basalis_fibroblast,Basalis_fibroblast,COL1A2,CD44,1.748975,0.0,2.6438768,0.7272394787319708,1.0542899076759282,0.015034011,0.91826177,0.07556792805553825,0.0010523629567346536
Basalis_fibroblast,Pericyte,LGALS1,ITGB1,1.9671909,0.0,2.3226137,0.3997630212501915,0.6254814257154504,0.0064848145,0.91326624,0.588616271077735,0.0010626005468399374
Basalis_fibroblast,SOX9+LGR5+_stem,DCN,MET,2.2567012,0.0,2.3160586,1.9280498539236863,2.6224425743502437,0.08581356,0.91315424,3.963028274881426e-05,0.0010763271198315958
SOX9+LGR5+_stem,NKT_cells,HMGB1,CXCR4,1.7412655,0.0,2.681599,0.8057868670059741,1.216985526371289,0.022930633,0.9187919,0.07556792805553825,0.0011005588594972565
Pericyte,SOX9+LGR5+_stem,VIM,CD44,2.054335,0.0,2.3053918,0.19605433890421944,-0.07104393803642595,0.004752534,0.912971,1.0,0.0011005588594972565
Basalis_fibroblast,Decidualized_stromal,COL1A2,CD44,1.7387857,0.0,2.5951064,0.7162614725991422,1.0113295618983886,0.014756684,0.91756034,0.07556792805553825,0.001118031193120496
